phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,44216,48686,"1",0,44216,48685,"2",
1,48687,49673,"2",1,48686,49672,"0",
2,49674,52971,"3",2,49673,52970,"0",
3,52972,55454,"4",3,52971,55454,"1",
4,63835,68816,"1",4,63835,68815,"2",
5,68816,70006,"2",5,68816,70005,"0",
6,70006,96219,"3",6,70006,96218,"3",
7,96220,97444,"4",7,96219,97444,"1",
8,106044,110247,"1",8,106044,110246,"2",
9,110248,110982,"2",9,110247,110981,"0",
10,110983,114069,"3",10,110982,114068,"0",
11,114070,115158,"4",11,114069,115158,"1",
12,123462,127534,"1",12,123462,127533,"1",
13,127534,128588,"2",13,127534,128587,"0",
14,128588,132225,"3",14,128588,132224,"0",
15,132226,133096,"4",15,132225,133096,"1",
16,144082,146948,"1",,,,,
17,146948,147866,"2",,,,,
18,147866,152217,"3",,,,,
19,152217,152898,"4",,,,,
20,161532,165818,"1",,,,,
21,165818,166838,"2",,,,,
22,166838,170135,"3",,,,,
23,170135,171224,"4",,,,,
24,182020,186757,"1",,,,,
25,186758,187509,"2",,,,,
26,187510,190399,"3",,,,,
27,190400,191182,"4",,,,,
28,198936,203074,"1",,,,,
29,203075,203965,"2",,,,,
30,203966,207977,"3",,,,,
31,207978,208760,"4",,,,,
32,218123,221918,"1",,,,,
33,221918,223005,"2",,,,,
34,223006,226065,"3",,,,,
35,226066,227222,"4",,,,,
36,236908,241230,"1",,,,,
37,241230,242385,"2",,,,,
38,242386,255577,"3",,,,,
39,255578,257346,"4",,,,,
40,268707,273564,"1",,,,,
41,273564,274244,"2",,,,,
42,274244,277031,"3",,,,,
43,277032,278188,"4",,,,,
44,287159,291896,"1",,,,,
45,291897,292875,"2",,,,,
46,292876,297535,"3",,,,,
47,297536,298962,"4",,,,,
