phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,84226,89998,"1",0,84226,89997,"0",
1,89998,90916,"2",1,89998,90915,"0",
2,90916,91425,"3",2,90916,91424,"0",
3,91426,94418,"4",3,91425,94418,"0",
4,105114,109650,"1",4,105114,109649,"0",
5,109650,110601,"2",5,109650,110600,"0",
6,110602,111077,"3",6,110601,111076,"0",
7,111078,113696,"4",7,111077,113696,"0",
8,124800,129744,"1",8,124800,129743,"1",
9,129744,130559,"2",9,129744,130558,"1",
10,130560,130865,"3",10,130559,130864,"0",
11,130866,132736,"4",11,130865,132736,"0",
12,143452,147730,"1",12,143452,147729,"0",
13,147730,148716,"2",13,147730,148715,"0",
14,148716,149225,"3",14,148716,149224,"0",
15,149226,151368,"4",15,149225,151368,"0",
16,165207,169694,"1",,,,,
17,169694,170445,"2",,,,,
18,170446,171246,"3",,,,,
19,171247,173842,"4",,,,,
20,184894,189686,"1",,,,,
21,189686,190603,"2",,,,,
22,190604,191113,"3",,,,,
23,191114,193664,"4",,,,,
24,205815,210426,"1",,,,,
25,210426,211174,"2",,,,,
26,211174,211686,"3",,,,,
27,211687,213316,"4",,,,,
28,227603,231438,"1",,,,,
29,231438,232458,"2",,,,,
30,232458,232797,"3",,,,,
31,232798,234963,"4",,,,,
32,249524,253795,"1",,,,,
33,253796,254456,"2",,,,,
34,254456,255577,"3",,,,,
35,255578,256904,"4",,,,,
36,268377,272544,"1",,,,,
37,272544,273427,"2",,,,,
38,273428,274208,"3",,,,,
39,274209,276439,"4",,,,,
40,292635,297398,"1",,,,,
41,297398,298247,"2",,,,,
42,298248,298655,"3",,,,,
43,298656,302260,"4",,,,,
44,313556,316846,"1",,,,,
45,316846,317797,"2",,,,,
46,317798,317933,"3",,,,,
47,317934,320994,"4",,,,,
