phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,40815,45560,"1",0,40815,45559,"0",
1,45560,46511,"2",1,45560,46510,"0",
2,46512,47254,"3",2,46511,47253,"0",
3,47255,50932,"4",3,47254,50932,"1",
4,58934,63871,"1",4,58934,63870,"1",
5,63872,65280,"2",5,63871,65279,"0",
6,65280,66130,"3",6,65280,66129,"0",
7,66130,76194,"4",7,66130,76194,"0",
8,82958,88094,"1",8,82958,88093,"1",
9,88094,88842,"2",9,88094,88841,"0",
10,88842,89147,"3",10,88842,89146,"0",
11,89148,104380,"4",11,89147,104380,"0",
12,113121,118025,"1",12,113121,118024,"0",
13,118026,119093,"2",13,118025,119092,"0",
14,119094,119460,"3",14,119093,119459,"0",
15,119461,123250,"4",15,119460,123250,"0",
16,132107,137043,"1",,,,,
17,137044,137870,"2",,,,,
18,137870,137937,"3",,,,,
19,137938,140450,"4",,,,,
20,148723,153000,"1",,,,,
21,153000,154190,"2",,,,,
22,154190,154393,"3",,,,,
23,154394,161704,"4",,,,,
24,172414,176883,"1",,,,,
25,176884,177752,"2",,,,,
26,177752,177922,"3",,,,,
27,177922,181458,"4",,,,,
28,190464,195636,"1",,,,,
29,195636,196587,"2",,,,,
30,196588,197233,"3",,,,,
31,197234,200271,"4",,,,,
32,211552,216444,"1",,,,,
33,216444,217395,"2",,,,,
34,217396,217599,"3",,,,,
35,217600,226932,"4",,,,,
36,236511,241910,"1",,,,,
37,241910,242950,"2",,,,,
38,242951,243439,"3",,,,,
39,243440,267897,"4",,,,,
40,284592,288762,"1",,,,,
41,288762,289440,"2",,,,,
42,289441,289611,"3",,,,,
43,289612,292400,"4",,,,,
44,300909,305546,"1",,,,,
45,305547,306611,"2",,,,,
46,306612,306848,"3",,,,,
47,306849,313510,"4",,,,,
