phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,68169,72658,"1",0,68169,72657,"0",
1,72658,73473,"2",1,72658,73472,"0",
2,73474,73507,"3",2,73473,73506,"0",
3,73508,76138,"4",3,73507,76138,"0",
4,86120,91426,"1",4,86120,91425,"0",
5,91426,92615,"2",5,91426,92614,"0",
6,92616,93159,"3",6,92615,93158,"0",
7,93160,95302,"4",7,93159,95302,"0",
8,105940,110602,"1",8,105940,110601,"1",
9,110602,111519,"2",9,110602,111518,"0",
10,111520,111825,"3",10,111519,111824,"0",
11,111826,114648,"4",11,111825,114648,"0",
12,126060,130798,"1",12,126060,130797,"0",
13,130798,131682,"2",13,130798,131681,"0",
14,131682,132157,"3",14,131682,132156,"0",
15,132158,134164,"4",15,132157,134164,"0",
16,146880,151436,"1",,,,,
17,151436,152115,"2",,,,,
18,152116,152727,"3",,,,,
19,152728,155210,"4",,,,,
20,166900,172142,"1",,,,,
21,172142,173161,"2",,,,,
22,173162,173706,"3",,,,,
23,173706,175780,"4",,,,,
24,189956,194514,"1",,,,,
25,194514,195329,"2",,,,,
26,195330,195669,"3",,,,,
27,195670,198696,"4",,,,,
28,211312,216206,"1",,,,,
29,216206,217021,"2",,,,,
30,217022,217429,"3",,,,,
31,217430,219708,"4",,,,,
32,231031,235790,"1",,,,,
33,235790,236402,"2",,,,,
34,236403,237103,"3",,,,,
35,237104,239272,"4",,,,,
36,249750,254082,"1",,,,,
37,254082,254966,"2",,,,,
38,254966,255645,"3",,,,,
39,255646,258060,"4",,,,,
40,272673,278086,"1",,,,,
41,278086,278970,"2",,,,,
42,278970,279445,"3",,,,,
43,279446,281996,"4",,,,,
44,293661,298214,"1",,,,,
45,298214,298996,"2",,,,,
46,298996,299540,"3",,,,,
47,299540,301444,"4",,,,,
