phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,31816,36175,"1",0,36175,0,"1","","",
1,36176,36855,"2",1,36855,0,"0","","",
2,36856,39405,"3",2,39405,0,"0","","",
3,39406,40154,"4",3,40154,0,"0","","",
4,50911,56983,"1",4,56983,0,"1","","",
5,56984,57765,"2",5,57765,0,"0","","",
6,57766,61165,"3",6,61165,0,"0","","",
7,61166,62696,"4",7,62696,0,"1","","",
8,77323,82041,"1",8,82041,0,"1","","",
9,82042,82823,"2",9,82823,0,"1","","",
10,82824,85679,"3",10,85679,0,"0","","",
11,85680,87550,"4",11,87550,0,"1","","",
12,99114,104209,"1",12,104209,0,"1","","",
13,104210,105263,"2",13,105263,0,"0","","",
14,105264,108663,"3",14,108663,0,"0","","",
15,108664,109820,"4",15,109820,0,"1","","",
16,121818,126921,"1",,,,,,,
17,126922,127635,"2",,,,,,,
18,127636,131069,"3",,,,,,,
19,131070,134436,"4",,,,,,,
20,146369,151707,"1",,,,,,,
21,151708,152625,"2",,,,,,,
22,152626,157691,"3",,,,,,,
23,157692,161160,"4",,,,,,,
24,172161,177241,"1",,,,,,,
25,177242,177887,"2",,,,,,,
26,177888,183531,"3",,,,,,,
27,183532,184382,"4",,,,,,,
28,194581,201483,"1",,,,,,,
29,201484,202299,"2",,,,,,,
30,202300,205971,"3",,,,,,,
31,205972,207400,"4",,,,,,,
32,227394,233545,"1",,,,,,,
33,233546,234259,"2",,,,,,,
34,234260,237217,"3",,,,,,,
35,237218,237966,"4",,,,,,,
36,248648,257345,"1",,,,,,,
37,257346,258365,"2",,,,,,,
38,258366,259929,"3",,,,,,,
39,259930,263277,"4",,,,,,,
40,290089,295255,"1",,,,,,,
41,295256,296071,"2",,,,,,,
42,296072,297941,"3",,,,,,,
43,297942,303484,"4",,,,,,,
44,313280,319293,"1",,,,,,,
45,319294,320143,"2",,,,,,,
46,320144,323407,"3",,,,,,,
47,323408,324700,"4",,,,,,,
