phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,40535,44438,"1",0,40535,44437,"1",
1,44438,45219,"2",1,44438,45218,"0",
2,45220,45287,"3",2,45219,45287,"0",
3,45288,48042,"4",3,45288,48042,"0",
4,56952,62056,"1",4,56952,62055,"1",
5,62057,62990,"2",5,62056,62989,"0",
6,62991,63035,"3",6,62990,63034,"0",
7,63036,66232,"4",7,63035,66232,"1",
8,76504,80682,"1",8,76504,80681,"1",
9,80682,81633,"2",9,80682,81632,"0",
10,81634,81667,"3",10,81633,81666,"0",
11,81668,85306,"4",11,81667,85306,"0",
12,94589,98328,"1",12,94589,98327,"1",
13,98328,99653,"2",13,98328,99652,"0",
14,99654,99721,"3",14,99653,99720,"0",
15,99722,104958,"4",15,99721,104958,"0",
16,117245,120904,"1",,,,,
17,120904,122467,"2",,,,,
18,122468,122501,"3",,,,,
19,122502,124610,"4",,,,,
20,132927,136530,"1",,,,,
21,136531,137461,"2",,,,,
22,137462,137495,"3",,,,,
23,137496,140749,"4",,,,,
24,150679,154666,"1",,,,,
25,154666,155749,"2",,,,,
26,155750,155787,"3",,,,,
27,155788,159154,"4",,,,,
28,169898,174046,"1",,,,,
29,174046,175169,"2",,,,,
30,175170,175169,"3",,,,,
31,175236,181764,"4",,,,,
32,194522,198459,"1",,,,,
33,198460,199375,"2",,,,,
34,199376,199409,"3",,,,,
35,199410,204646,"4",,,,,
36,214075,218110,"1",,,,,
37,218110,219113,"2",,,,,
38,219114,219163,"3",,,,,
39,219164,221680,"4",,,,,
40,233460,237320,"1",,,,,
41,237320,238365,"2",,,,,
42,238366,238407,"3",,,,,
43,238408,243372,"4",,,,,
44,252112,256517,"1",,,,,
45,256518,257685,"2",,,,,
46,257686,257719,"3",,,,,
47,257720,267376,"4",,,,,
