phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,72640,77644,"1",0,72640,77643,"3",
1,77645,78845,"2",1,77644,78844,"0",
2,78846,79627,"3",2,78845,79626,"0",
3,79628,81953,"4",3,79627,81952,"0",
4,93962,98974,"1",4,93962,98973,"1",
5,98974,99960,"2",5,98974,99959,"0",
6,99960,100163,"3",6,99960,100162,"0",
7,100164,105332,"4",7,100163,105332,"1",
8,120788,124644,"1",8,120788,124643,"2",
9,124644,125357,"2",9,124644,125356,"0",
10,125358,125561,"3",10,125357,125560,"0",
11,125562,127466,"4",11,125561,127466,"0",
12,136004,141202,"1",12,136004,141201,"3",
13,141202,142188,"2",13,141202,142187,"0",
14,142188,142731,"3",14,142188,142730,"0",
15,142732,146636,"4",15,142731,146636,"1",
16,158059,163948,"1",,,,,
17,163948,164797,"2",,,,,
18,164798,165431,"3",,,,,
19,165432,167790,"4",,,,,
20,182383,187986,"1",,,,,
21,187986,188937,"2",,,,,
22,188938,189345,"3",,,,,
23,189346,195024,"4",,,,,
24,213448,218416,"1",,,,,
25,218416,219368,"2",,,,,
26,219368,219571,"3",,,,,
27,219572,221782,"4",,,,,
28,234802,238850,"1",,,,,
29,238850,239835,"2",,,,,
30,239836,240141,"3",,,,,
31,240142,242692,"4",,,,,
32,256891,262378,"1",,,,,
33,262378,263096,"2",,,,,
34,263097,263465,"3",,,,,
35,263466,270776,"4",,,,,
36,284285,289442,"1",,,,,
37,289442,290394,"2",,,,,
38,290394,290597,"3",,,,,
39,290598,305320,"4",,,,,
40,318185,323884,"1",,,,,
41,323884,324904,"2",,,,,
42,324904,325040,"3",,,,,
43,325040,326978,"4",,,,,
44,338505,344896,"1",,,,,
45,344896,345916,"2",,,,,
46,345916,346222,"3",,,,,
47,346222,354926,"4",,,,,
