SID,1,2,3,4,5,6,7,8,9,10,11,12
80116_04,R,L,R,R,L,R,R,L,R,R,L,L
80116_05,R,L,R,R,L,R,R,L,R,R,L,L
80716_03,R,L,R,L,L,R,R,L,R,L,L,L
80716_04,NC,L,R,R,L,R,R,L,R,L,L,L
81016_01,L,L,R,L,L,R,R,L,R,R,L,L
81016_02,L,L,R,R,L,R,R,L,R,L,L,L
81016_04,L,R,R,R,L,R,R,R,R,R,R,L
81016_06,LR,R,R,R,L,R,R,R,R,R,NC,R
81016_07,L,L,R,R,L,R,R,R,R,R,R,L
81016_08,L,L,R,R,L,R,R,L,R,R,L,L
81016_09,R,R,R,L,L,R,B,L,R,R,R,R
81216_01,R,L,R,L,L,R,R,L,R,L,L,L
81216_02,R,L,R,L,L,R,R,L,R,L,L,L
81216_03,L,L,R,L,L,R,L,L,R,L,L,L
81216_04,R,L,R,L,L,R,R,L,R,L,L,L
81216_05,L,L,R,R,L,R,R,L,R,R,L,L
81216_06,L,L,R,R,L,R,L,L,R,L,L,L
90216_01,L,L,R,R,L,R,L,L,R,R,L,R
90216_02,L,L,R,R,L,R,R,R,R,R,R,R
90916_01,L,R,L,R,R,R,R,L,R,R,L,R
90916_02,L,L,R,R,L,R,R,L,R,R,L,L
90916_03,L,L,R,R,R,R,R,R,R,R,L,L
90916_04,L,R,R,R,R,R,RL,R,R,B,R,R
90916_05,L,L,R,R,L,R,R,L,R,R,L,L
90916_06,L,L,R,R,L,R,R,R,R,R,L,L
91616_01,L,L,R,R,R,R,L,R,R,L,L,L
91616_02,L,LR,LR,L,L,R,L,L,R,L,L,R
92116_01,L,L,R,R,L,R,R,L,R,R,L,L
101316_02,L,L,R,R,L,R,R,L,R,R,L,L
101316_03,L,L,R,L,L,R,L,L,R,L,L,L
101316_04,L,L,R,R,L,R,R,L,R,R,L,L
101816_01,R,L,R,R,L,R,R,L,R,R,L,L
102016_01,L,L,R,R,L,R,R,L,R,R,L,L
102116_01,L,L,R,R,L,R,R,L,R,R,L,L
102116_03,L,L,R,L,L,R,R,L,R,R,L,L
102116_04,L,L,R,R,L,R,R,L,R,R,L,L
102516_02,L,L,R,R,L,R,R,L,R,R,L,L
102516_04,L,L,R,R,R,R,R,R,R,R,R,L
102716_01,L,R,R,R,L,R,R,R,R,R,L,R
102716_02,L,L,R,R,R,R,R,R,R,R,R,L
102716_04,L,R,R,R,R,R,R,R,R,R,R,L
102716_05,L,R,R,R,R,R,R,R,R,R,R,L
102816_01,L,R,R,R,B,R,R,L,R,R,R,R
102816_02,L,L,R,R,R,R,R,L,R,R,R,R
102816_03,R,LR,RL,LR,L,LR,RL,R,LR,R,R,LR
110116_01,L,L,R,R,R,R,R,L,R,R,L,L
110116_03,L,L,R,R,L,R,R,R,R,R,R,L
110116_04,L,L,R,R,L,R,R,R,R,R,R,L
110116_05,R,R,R,L,R,R,R,L,R,R,R,L
110116_06,L,L,R,R,L,R,R,R,L,B,L,L
110116_07,L,R,R,R,R,R,L,R,L,R,R,L
111016_01,L,L,R,L,L,R,L,L,R,R,R,L
111016_02,L,L,R,R,L,R,L,L,R,R,L,L
111016_03,L,L,R,R,L,R,R,L,R,R,L,L
111316_02,L,L,R,L,L,R,L,L,R,L,L,L
111316_05,L,L,R,L,L,R,R,L,R,L,L,L
111316_07,L,L,R,L,L,R,L,R,R,R,L,L
111316_08,R,L,R,R,L,R,L,R,R,R,R,L
111316_10,L,L,R,R,L,R,R,L,R,R,L,L
111516_03,L,L,RL,R,L,R,R,L,R,R,L,L
111516_04,R,L,R,R,R,R,L,L,R,L,L,L
111516_05,L,L,R,R,L,R,R,L,R,R,L,L
111516_06,L,L,R,R,L,R,R,L,R,R,L,L
111816_01,L,L,R,R,L,R,R,L,R,R,L,L
111816_02,L,L,R,R,L,R,R,L,R,R,L,L
111816_03,L,L,R,R,L,R,R,L,R,R,L,L
111816_04,L,L,R,R,L,R,R,L,R,R,L,L
111816_05,L,L,R,R,R,R,R,R,R,R,R,L
111816_06,R,L,R,R,L,R,R,L,R,L,L,L
112216_01,L,L,R,R,L,R,R,L,R,R,R,L
112216_02,L,L,R,R,R,R,R,R,R,R,L,L
112516_01,L,R,L,R,L,R,RL,R,L,LR,LR,L
112516_02,L,L,R,R,L,R,R,L,R,R,L,L
112516_03,L,L,R,R,L,L,R,R,B,L,L,R
112716_03,L,L,R,R,L,R,R,L,R,R,R,L
112916_01,L,R,R,R,L,R,R,L,L,R,R,R
112916_02,L,L,R,R,L,R,R,L,R,R,L,L
112916_03,L,L,RL,R,L,R,R,L,R,R,L,L
120116_03,L,L,R,L,L,R,L,L,B,R,R,L
120116_05,L,L,R,R,L,R,R,R,R,R,R,L
