phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,62574,66979,"1",0,62574,0,"1","0","",
1,66980,67626,"2",1,67626,0,"0","0","",
2,67626,67795,"3",2,67795,0,"0","0","",
3,67796,69394,"4",3,69394,0,"0","0","",
4,79457,84625,"1",4,79560,0,"1","0","",
5,84626,85340,"2",5,84626,0,"0","0","",
6,85340,85441,"3",6,85441,0,"0","0","",
7,85442,87822,"4",7,87822,0,"0","0","",
8,105917,110023,"1",8,110023,0,"2","0","",
9,110024,110840,"2",9,110024,0,"0","0","",
10,110840,111179,"3",10,111179,0,"0","0","",
11,111180,115022,"4",11,115022,0,"0","0","",
12,124035,129403,"1",12,129403,0,"2","0","",
13,129404,130254,"2",13,130254,0,"0","0","",
14,130254,130422,"3",14,130422,0,"0","0","",
15,130423,132940,"4",15,132940,0,"0","0","",
16,151628,157895,"1",,,,,,,
17,157896,158643,"2",,,,,,,
18,158644,158949,"3",,,,,,,
19,158950,160990,"4",,,,,,,
20,169914,174827,"1",,,,,,,
21,174828,175813,"2",,,,,,,
22,175814,176493,"3",,,,,,,
23,176494,179418,"4",,,,,,,
24,191302,196077,"1",,,,,,,
25,196078,196893,"2",,,,,,,
26,196894,197437,"3",,,,,,,
27,197438,199444,"4",,,,,,,
28,208152,212975,"1",,,,,,,
29,212976,213859,"2",,,,,,,
30,213860,214301,"3",,,,,,,
31,214302,216002,"4",,,,,,,
32,227004,232151,"1",,,,,,,
33,232152,233035,"2",,,,,,,
34,233036,233103,"3",,,,,,,
35,233104,235790,"4",,,,,,,
36,244756,250511,"1",,,,,,,
37,250512,251463,"2",,,,,,,
38,251464,251497,"3",,,,,,,
39,251498,281112,"4",,,,,,,
40,295673,300899,"1",,,,,,,
41,300900,301477,"2",,,,,,,
42,301478,301816,"3",,,,,,,
43,301817,305932,"4",,,,,,,
44,315025,320584,"1",,,,,,,
45,320585,321536,"2",,,,,,,
46,321537,321605,"3",,,,,,,
47,321606,343434,"4",,,,,,,
