phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,55623,60451,"1",0,60451,0,"2","0","",
1,60452,61029,"2",1,61029,0,"0","0","",
2,61030,61607,"3",2,61607,0,"0","0","",
3,61608,63002,"4",3,63002,0,"0","0","",
4,69937,74731,"1",4,74731,0,"2","0","",
5,74732,75513,"2",5,75513,0,"0","0","",
6,75514,75581,"3",6,75581,0,"0","0","",
7,75582,77520,"4",7,77520,0,"0","0","",
8,85920,90643,"1",8,90643,0,"2","0","",
9,90644,91357,"2",9,91357,0,"1","0","",
10,91358,91901,"3",10,91901,0,"0","0","",
11,91902,93568,"4",11,93568,0,"0","0","",
12,101936,106759,"1",12,106759,0,"2","0","",
13,106760,107541,"2",13,107541,0,"0","0","",
14,107542,110091,"3",14,108494,0,"0","0","",
15,110092,110772,"4",15,110772,0,"1","0","",
16,119420,124575,"1",,,,,,,
17,124576,125391,"2",,,,,,,
18,125392,125527,"3",,,,,,,
19,125528,127262,"4",,,,,,,
20,135012,139467,"1",,,,,,,
21,139468,140385,"2",,,,,,,
22,140386,140555,"3",,,,,,,
23,140556,142834,"4",,,,,,,
24,151384,156433,"1",,,,,,,
25,156434,157215,"2",,,,,,,
26,157216,157521,"3",,,,,,,
27,157522,159188,"4",,,,,,,
28,166834,171597,"1",,,,,,,
29,171598,172515,"2",,,,,,,
30,172516,172753,"3",,,,,,,
31,172754,174386,"4",,,,,,,
32,183918,189141,"1",,,,,,,
33,189142,189923,"2",,,,,,,
34,189924,190127,"3",,,,,,,
35,190128,191590,"4",,,,,,,
36,201237,205937,"1",,,,,,,
37,205938,206889,"2",,,,,,,
38,206890,206889,"3",,,,,,,
39,206890,208726,"4",,,,,,,
40,217584,223073,"1",,,,,,,
41,223074,223685,"2",,,,,,,
42,223686,224433,"3",,,,,,,
43,224434,225794,"4",,,,,,,
44,233667,239121,"1",,,,,,,
45,239122,240073,"2",,,,,,,
46,240074,240889,"3",,,,,,,
47,240890,249152,"4",,,,,,,
