phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,54406,59091,"1",0,59091,0,"1","0","",
1,59092,59907,"2",1,59907,0,"0","0","",
2,59908,60179,"3",2,60179,0,"0","0","",
3,60180,64294,"4",3,64294,0,"0","0","",
4,72157,77179,"1",4,77179,0,"1","0","",
5,77180,77995,"2",5,77995,0,"0","0","",
6,77996,78471,"3",6,78471,0,"0","0","",
7,78472,80716,"4",7,80716,0,"0","0","",
8,92510,97511,"1",8,97511,0,"2","0","",
9,97512,98123,"2",9,98123,0,"0","0","",
10,98124,99177,"3",10,99177,0,"0","0","",
11,99178,102578,"4",11,102578,0,"1","0","",
12,112764,119713,"1",12,119713,0,"0","0","",
13,119714,120665,"2",13,120665,0,"0","0","",
14,120666,129573,"3",14,129573,0,"2","0","",
15,129574,132362,"4",15,132362,0,"1","0","",
16,142560,147321,"1",,,,,,,
17,147322,148001,"2",,,,,,,
18,148002,150143,"3",,,,,,,
19,150144,151436,"4",,,,,,,
20,160111,164525,"1",,,,,,,
21,164526,165375,"2",,,,,,,
22,165376,165885,"3",,,,,,,
23,165886,168776,"4",,,,,,,
24,176194,181865,"1",,,,,,,
25,181866,182613,"2",,,,,,,
26,182614,183259,"3",,,,,,,
27,183260,186048,"4",,,,,,,
28,193944,199171,"1",,,,,,,
29,199172,200089,"2",,,,,,,
30,200090,200599,"3",,,,,,,
31,200600,203898,"4",,,,,,,
32,213401,217973,"1",,,,,,,
33,217974,218687,"2",,,,,,,
34,218688,218925,"3",,,,,,,
35,218926,221680,"4",,,,,,,
36,228847,233341,"1",,,,,,,
37,233342,234565,"2",,,,,,,
38,234566,234565,"3",,,,,,,
39,234566,240686,"4",,,,,,,
40,250697,256155,"1",,,,,,,
41,256156,256902,"2",,,,,,,
42,256903,257413,"3",,,,,,,
43,257414,263330,"4",,,,,,,
44,270488,275943,"1",,,,,,,
45,275944,276963,"2",,,,,,,
46,276964,284987,"3",,,,,,,
47,284988,287300,"4",,,,,,,
