phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,60654,65925,"1",0,60654,0,"2","0","",
1,65926,66741,"2",1,66741,0,"0","0","",
2,66742,66775,"3",2,66775,0,"0","0","",
3,66776,68850,"4",3,68850,0,"0","0","",
4,75569,79831,"1",4,79831,0,"1","0","",
5,79832,80817,"2",5,80817,0,"0","0","",
6,80818,80818,"3",6,80818,0,"0","0","",
7,80818,83265,"4",7,83265,0,"0","0","",
8,91285,95676,"1",8,95676,0,"1","0","",
9,95676,96322,"2",9,96322,0,"0","0","",
10,96322,96626,"3",10,96626,0,"0","0","",
11,96627,99960,"4",11,99960,0,"0","0","",
12,107668,112437,"1",12,112437,0,"1","0","",
13,112438,113253,"2",13,113253,0,"0","0","",
14,113254,113525,"3",14,113525,0,"0","0","",
15,113526,115566,"4",15,115566,0,"1","0","",
16,124952,129777,"1",,,,,,,
17,129778,130456,"2",,,,,,,
18,130457,130559,"3",,,,,,,
19,130560,133280,"4",,,,,,,
20,140734,145077,"1",,,,,,,
21,145078,145927,"2",,,,,,,
22,145928,146403,"3",,,,,,,
23,146404,148784,"4",,,,,,,
24,158152,163199,"1",,,,,,,
25,163200,163981,"2",,,,,,,
26,163982,164389,"3",,,,,,,
27,164390,166498,"4",,,,,,,
28,174402,179179,"1",,,,,,,
29,179180,180097,"2",,,,,,,
30,180098,180845,"3",,,,,,,
31,180846,182580,"4",,,,,,,
32,192952,197845,"1",,,,,,,
33,197846,198559,"2",,,,,,,
34,198560,198797,"3",,,,,,,
35,198798,200600,"4",,,,,,,
36,209670,214131,"1",,,,,,,
37,214132,215049,"2",,,,,,,
38,215050,215423,"3",,,,,,,
39,215424,217362,"4",,,,,,,
40,227420,232729,"1",,,,,,,
41,232730,233409,"2",,,,,,,
42,233410,234089,"3",,,,,,,
43,234090,236130,"4",,,,,,,
44,245622,250409,"1",,,,,,,
45,250410,251259,"2",,,,,,,
46,251260,251259,"3",,,,,,,
47,251260,256360,"4",,,,,,,
