phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,60554,64565,"1",0,64565,0,"2","0","",
1,64566,65348,"2",1,65348,0,"1","0","",
2,65348,67217,"3",2,67217,0,"0","0","",
3,67218,67966,"4",3,67966,0,"0","0","",
4,76570,81395,"1",4,81395,0,"2","0","",
5,81396,82484,"2",5,82484,0,"0","0","",
6,82484,83435,"3",6,83435,0,"0","0","",
7,83436,84558,"4",7,84558,0,"0","0","",
8,94087,98565,"1",8,98565,0,"2","0","",
9,98566,99450,"2",9,98566,0,"0","0","",
10,99450,100401,"3",10,99450,0,"0","0","",
11,100402,106726,"4",11,106726,0,"2","0","",
12,116743,121957,"1",12,121957,0,"0","0","",
13,121958,123012,"2",13,123012,0,"0","0","",
14,123012,124031,"3",14,124031,0,"0","0","",
15,124032,130934,"4",15,130934,0,"1","0","",
16,145839,150347,"1",,,,,,,
17,150348,150993,"2",,,,,,,
18,150994,151333,"3",,,,,,,
19,151334,153068,"4",,,,,,,
20,162155,166633,"1",,,,,,,
21,166634,167517,"2",,,,,,,
22,167518,167958,"3",,,,,,,
23,167959,171088,"4",,,,,,,
24,180240,185367,"1",,,,,,,
25,185368,186047,"2",,,,,,,
26,186048,186455,"3",,,,,,,
27,186456,195636,"4",,,,,,,
28,205899,211819,"1",,,,,,,
29,211820,212635,"2",,,,,,,
30,212636,212873,"3",,,,,,,
31,212874,228684,"4",,,,,,,
32,243068,247383,"1",,,,,,,
33,247384,248199,"2",,,,,,,
34,248200,248335,"3",,,,,,,
35,248336,250376,"4",,,,,,,
36,258384,262513,"1",,,,,,,
37,262514,263329,"2",,,,,,,
38,263330,263499,"3",,,,,,,
39,263500,265472,"4",,,,,,,
40,275835,280736,"1",,,,,,,
41,280737,281416,"2",,,,,,,
42,281417,281723,"3",,,,,,,
43,281724,287980,"4",,,,,,,
44,298625,303925,"1",,,,,,,
45,303926,304741,"2",,,,,,,
46,304742,304877,"3",,,,,,,
47,304878,314602,"4",,,,,,,
