phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,61446,66707,"1",0,66707,0,"1","0","",
1,66708,67489,"2",1,67489,0,"0","0","",
2,67490,68203,"3",2,68203,0,"0","0","",
3,68204,70414,"4",3,68204,0,"0","0","",
4,78630,84115,"1",4,84115,0,"","1","cant see face",
5,84116,84999,"2",5,84999,0,"0","0","",
6,85000,85543,"3",6,85543,0,"0","0","",
7,85544,89454,"4",7,89454,0,"","1","can't see face",
8,100652,104957,"1",8,104957,0,"0","0","",
9,104958,106181,"2",9,106181,0,"0","0","",
10,106182,106385,"3",10,106385,0,"0","0","",
11,106386,111792,"4",11,110631,0,"","1","can't see face",
12,119504,124983,"1",12,124983,0,"2","0","",
13,124984,125867,"2",13,125867,0,"0","0","",
14,125868,126717,"3",14,126717,0,"0","0","",
15,126718,139876,"4",15,139876,0,"2","1","",
16,150602,155821,"1",,,,,,,
17,155822,157113,"2",,,,,,,
18,157114,157521,"3",,,,,,,
19,157522,163676,"4",,,,,,,
20,171188,177037,"1",,,,,,,
21,177038,177887,"2",,,,,,,
22,177888,178329,"3",,,,,,,
23,178330,180880,"4",,,,,,,
24,209826,215899,"1",,,,,,,
25,215900,216681,"2",,,,,,,
26,216682,216885,"3",,,,,,,
27,216886,221408,"4",,,,,,,
28,230014,234225,"1",,,,,,,
29,234226,235653,"2",,,,,,,
30,235654,237387,"3",,,,,,,
31,237388,246772,"4",,,,,,,
32,261212,266355,"1",,,,,,,
33,266356,267681,"2",,,,,,,
34,267682,268021,"3",,,,,,,
35,268022,270538,"4",,,,,,,
36,278729,284477,"1",,,,,,,
37,284478,285667,"2",,,,,,,
38,285668,287027,"3",,,,,,,
39,287028,293692,"4",,,,,,,
40,303584,308039,"1",,,,,,,
41,308040,309195,"2",,,,,,,
42,309196,309365,"3",,,,,,,
43,309366,311644,"4",,,,,,,
44,323908,328779,"1",,,,,,,
45,328780,330310,"2",,,,,,,
46,330310,330309,"3",,,,,,,
47,330310,333030,"4",,,,,,,
