phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,41114,45287,"1",0,45287,0,"1","0","",
1,45288,46103,"2",1,46103,0,"0","0","",
2,46104,48653,"3",2,48653,0,"0","0","",
3,48654,50490,"4",3,48654,0,"0","0","",
4,58264,63715,"1",4,63715,0,"3","0","",
5,63716,64701,"2",5,64701,0,"0","0","",
6,64702,67455,"3",6,67455,0,"0","0","",
7,67456,68374,"4",7,68374,0,"1","0","",
8,76716,82109,"1",8,76716,0,"1","0","",
9,82110,82755,"2",9,82755,0,"0","0","",
10,82756,84421,"3",10,84421,0,"0","0","",
11,84422,85476,"4",11,85476,0,"0","0","",
12,94467,100197,"1",12,100197,0,"3","0","",
13,100198,100911,"2",13,100911,0,"0","0","",
14,100912,101897,"3",14,101897,0,"1","0","",
15,101898,107474,"4",15,107474,0,"2","0","",
16,118806,124031,"1",,,,,,,
17,124032,124711,"2",,,,,,,
18,124712,125153,"3",,,,,,,
19,125154,129506,"4",,,,,,,
20,137176,142357,"1",,,,,,,
21,142358,143275,"2",,,,,,,
22,143276,143853,"3",,,,,,,
23,143854,148376,"4",,,,,,,
24,159464,164593,"1",,,,,,,
25,164594,165307,"2",,,,,,,
26,165308,166055,"3",,,,,,,
27,166056,168674,"4",,,,,,,
28,177008,182375,"1",,,,,,,
29,182376,183021,"2",,,,,,,
30,183022,184347,"3",,,,,,,
31,184348,189550,"4",,,,,,,
32,200440,205121,"1",,,,,,,
33,205122,206005,"2",,,,,,,
34,206006,206481,"3",,,,,,,
35,206482,209644,"4",,,,,,,
36,218986,223311,"1",,,,,,,
37,223312,224195,"2",,,,,,,
38,224196,224875,"3",,,,,,,
39,224876,227188,"4",,,,,,,
40,238176,243303,"1",,,,,,,
41,243304,243949,"2",,,,,,,
42,243950,245751,"3",,,,,,,
43,245752,246976,"4",,,,,,,
44,255995,261186,"1",,,,,,,
45,261187,262003,"2",,,,,,,
46,262004,262513,"3",,,,,,,
47,262514,265710,"4",,,,,,,
