phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,51088,56269,"1",0,56269,0,"2","0","",
1,56270,57052,"2",1,57052,0,"0","0","",
2,57052,60213,"3",2,60213,0,"0","0","",
3,60214,61574,"4",3,61574,0,"1","0","",
4,69540,74629,"1",4,69632,0,"2","0","",
5,74630,75582,"2",5,75582,0,"0","0","",
6,75582,78267,"3",6,78267,0,"0","0","",
7,78268,79866,"4",7,78268,0,"0","0","",
8,89327,94349,"1",8,94349,0,"2","0","",
9,94350,95200,"2",9,95200,0,"0","0","",
10,95200,98157,"3",10,98157,0,"0","0","",
11,98158,100334,"4",11,99586,0,"0","0","",
12,110281,116041,"1",12,116041,0,"1","0","",
13,116042,116858,"2",13,116858,0,"0","0","",
14,116858,120461,"3",14,120461,0,"1","0","",
15,120462,121924,"4",15,121924,0,"2","0","",
16,132136,138175,"1",,,,,,,
17,138176,138991,"2",,,,,,,
18,138992,142017,"3",,,,,,,
19,142018,143378,"4",,,,,,,
20,151922,157487,"1",,,,,,,
21,157488,158337,"2",,,,,,,
22,158338,161465,"3",,,,,,,
23,161466,162588,"4",,,,,,,
24,175479,180777,"1",,,,,,,
25,180778,181559,"2",,,,,,,
26,181560,184789,"3",,,,,,,
27,184790,185708,"4",,,,,,,
28,196232,201755,"1",,,,,,,
29,201756,202809,"2",,,,,,,
30,202810,206311,"3",,,,,,,
31,206312,207570,"4",,,,,,,
32,218956,224637,"1",,,,,,,
33,224638,225623,"2",,,,,,,
34,225624,228445,"3",,,,,,,
35,228446,229500,"4",,,,,,,
36,239610,244867,"1",,,,,,,
37,244868,245785,"2",,,,,,,
38,245786,248879,"3",,,,,,,
39,248880,249934,"4",,,,,,,
40,259596,264893,"1",,,,,,,
41,264894,265641,"2",,,,,,,
42,265642,269143,"3",,,,,,,
43,269144,270334,"4",,,,,,,
44,280284,285632,"1",,,,,,,
45,285633,286720,"2",,,,,,,
46,286721,289543,"3",,,,,,,
47,289544,291278,"4",,,,,,,
