phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,60824,65892,"1",0,65892,0,"2","0","",
1,65892,66742,"2",1,66742,0,"0","0","",
2,66742,67455,"3",2,67455,0,"0","0","",
3,67456,69054,"4",3,67456,0,"0","0","",
4,79009,84082,"1",4,84014,0,"2","0","",
5,84082,84966,"2",5,84966,0,"0","0","",
6,84966,107779,"3",6,107779,0,"3","0","",
7,107780,108766,"4",7,108766,0,"0","0","",
8,120083,124440,"1",8,120083,0,"1","0","",
9,124440,125120,"2",9,125120,0,"0","0","",
10,125120,125357,"3",10,125357,0,"0","0","",
11,125358,127670,"4",11,127670,0,"0","0","",
12,137768,142562,"1",12,137768,0,"1","0","",
13,142562,143344,"2",13,143344,0,"0","0","",
14,143344,143513,"3",14,143513,0,"0","0","",
15,143514,146336,"4",15,146336,0,"0","0","",
16,154584,159255,"1",,,,,,,
17,159256,160173,"2",,,,,,,
18,160174,160513,"3",,,,,,,
19,160514,162758,"4",,,,,,,
20,174204,179213,"1",,,,,,,
21,179214,179927,"2",,,,,,,
22,179928,186557,"3",,,,,,,
23,186558,189040,"4",,,,,,,
24,199296,203727,"1",,,,,,,
25,203728,204407,"2",,,,,,,
26,204408,204543,"3",,,,,,,
27,204544,207366,"4",,,,,,,
28,216412,221237,"1",,,,,,,
29,221238,222087,"2",,,,,,,
30,222088,222155,"3",,,,,,,
31,222156,224978,"4",,,,,,,
32,234263,238339,"1",,,,,,,
33,238340,239087,"2",,,,,,,
34,239088,239665,"3",,,,,,,
35,239666,242386,"4",,,,,,,
36,251047,255849,"1",,,,,,,
37,255850,256767,"2",,,,,,,
38,256768,256767,"3",,,,,,,
39,256768,260338,"4",,,,,,,
40,270467,274616,"1",,,,,,,
41,274617,275365,"2",,,,,,,
42,275366,275637,"3",,,,,,,
43,275638,278868,"4",,,,,,,
44,287584,291888,"1",,,,,,,
45,291889,292807,"2",,,,,,,
46,292808,293215,"3",,,,,,,
47,293216,295528,"4",,,,,,,
