phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,60643,65142,"1",0,65142,0,"1","0","",
1,65143,65994,"2",1,65994,0,"0","0","",
2,65994,67863,"3",2,67863,0,"0","0","",
3,67864,69122,"4",3,69122,0,"0","0","",
4,77708,82585,"1",4,82585,0,"1","0","",
5,82586,83436,"2",5,83436,0,"0","0","",
6,83436,85985,"3",6,85985,0,"0","0","",
7,85986,86836,"4",7,86836,0,"0","0","",
8,96446,100979,"1",8,96446,0,"1","0","",
9,100980,101796,"2",9,101796,0,"1","0","",
10,101796,104243,"3",10,104243,0,"0","0","",
11,104244,112914,"4",11,112914,0,"2","0","",
12,122839,127873,"1",12,127873,0,"1","0","",
13,127874,128860,"2",13,127942,0,"1","0","",
14,128860,131511,"3",14,128860,0,"0","0","",
15,131512,132260,"4",15,132260,0,"0","0","",
16,143592,149259,"1",,,,,,,
17,149260,150313,"2",,,,,,,
18,150314,152829,"3",,,,,,,
19,152830,153748,"4",,,,,,,
20,163012,167993,"1",,,,,,,
21,167994,168979,"2",,,,,,,
22,168980,171597,"3",,,,,,,
23,171598,172380,"4",,,,,,,
24,183499,189005,"1",,,,,,,
25,189006,189821,"2",,,,,,,
26,189822,192269,"3",,,,,,,
27,192270,193222,"4",,,,,,,
28,201984,207059,"1",,,,,,,
29,207060,208181,"2",,,,,,,
30,208182,228887,"3",,,,,,,
31,228888,230577,"4",,,,,,,
32,240856,246431,"1",,,,,,,
33,246432,247315,"2",,,,,,,
34,247316,247316,"3",,,,,,,
35,249832,251090,"4",,,,,,,
36,260408,265335,"1",,,,,,,
37,265336,266491,"2",,,,,,,
38,266492,266627,"3",,,,,,,
39,266628,268940,"4",,,,,,,
40,279262,283933,"1",,,,,,,
41,283934,284613,"2",,,,,,,
42,284614,288931,"3",,,,,,,
43,288932,291584,"4",,,,,,,
44,301049,308277,"1",,,,,,,
45,308278,309229,"2",,,,,,,
46,309230,309535,"3",,,,,,,
47,309536,311984,"4",,,,,,,
