phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,84744,90201,"1",0,90201,0,"2","0","",
1,90202,90984,"2",1,90202,0,"1","0","",
2,90984,91187,"3",2,91187,0,"0","0","",
3,91188,94418,"4",3,94418,0,"1","0","",
4,103062,111791,"1",4,111791,0,"2","0","",
5,111792,112710,"2",5,112710,0,"0","0","",
6,112710,112845,"3",6,112845,0,"0","0","",
7,112846,120054,"4",7,120054,0,"1","0","",
8,133960,141405,"1",8,141405,0,"1","0","",
9,141406,142154,"2",9,142154,0,"0","0","",
10,142154,142493,"3",10,142493,0,"0","0","",
11,142494,159256,"4",11,159256,0,"0","1","",
12,173566,182035,"1",12,182035,0,"1","0","",
13,182036,182988,"2",13,182988,0,"0","0","",
14,182988,183157,"3",14,183157,0,"0","0","",
15,183158,211038,"4",15,211038,0,"1","1","",
16,223216,230281,"1",,,,,,,
17,230282,230961,"2",,,,,,,
18,230962,231199,"3",,,,,,,
19,231200,234056,"4",,,,,,,
20,244303,251293,"1",,,,,,,
21,251294,252041,"2",,,,,,,
22,252042,252042,"3",,,,,,,
23,252042,262684,"4",,,,,,,
24,278104,283728,"1",,,,,,,
25,283729,284408,"2",,,,,,,
26,284409,284443,"3",,,,,,,
27,284444,295154,"4",,,,,,,
28,308633,317015,"1",,,,,,,
29,317016,317728,"2",,,,,,,
30,317729,317797,"3",,,,,,,
31,317798,355742,"4",,,,,,,
32,374078,379711,"1",,,,,,,
33,379712,380629,"2",,,,,,,
34,380630,380696,"3",,,,,,,
35,380697,416058,"4",,,,,,,
36,427486,439517,"1",,,,,,,
37,439518,440264,"2",,,,,,,
38,440265,440469,"3",,,,,,,
39,440470,443122,"4",,,,,,,
40,463622,470184,"1",,,,,,,
41,470185,470797,"2",,,,,,,
42,470798,471103,"3",,,,,,,
43,471104,502554,"4",,,,,,,
44,513039,519757,"1",,,,,,,
45,519758,520675,"2",,,,,,,
46,520676,520676,"3",,,,,,,
47,520676,538220,"4",,,,,,,
