phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,46016,50999,"1",0,50999,0,"2","0","",
1,51000,51679,"2",1,51679,0,"1","0","",
2,51680,53005,"3",2,53005,0,"0","0","",
3,53006,54536,"4",3,54536,0,"0","0","",
4,61862,67455,"1",4,67455,0,"1","0","",
5,67456,68237,"2",5,68237,0,"0","0","",
6,68238,70039,"3",6,70039,0,"0","0","",
7,70040,70719,"4",7,70719,0,"0","0","",
8,79883,84557,"1",8,84557,0,"2","0","",
9,84558,85339,"2",9,85339,0,"1","0","",
10,85340,85985,"3",10,85985,0,"0","0","",
11,85986,87176,"4",11,87176,0,"0","0","",
12,95332,100571,"1",12,100571,0,"3","0","",
13,100572,101455,"2",13,101455,0,"0","0","",
14,101456,102305,"3",14,102305,0,"0","0","",
15,102306,104278,"4",15,104278,0,"0","0","",
16,115152,120393,"1",,,,,,,
17,120394,121141,"2",,,,,,,
18,121142,122127,"3",,,,,,,
19,122128,123624,"4",,,,,,,
20,131602,137019,"1",,,,,,,
21,137020,138073,"2",,,,,,,
22,138074,139977,"3",,,,,,,
23,139978,140726,"4",,,,,,,
24,150354,156671,"1",,,,,,,
25,156672,157317,"2",,,,,,,
26,157318,157895,"3",,,,,,,
27,157896,159256,"4",,,,,,,
28,167436,172277,"1",,,,,,,
29,172278,173161,"2",,,,,,,
30,173162,173671,"3",,,,,,,
31,173672,175848,"4",,,,,,,
32,186956,192745,"1",,,,,,,
33,192746,193289,"2",,,,,,,
34,193290,194955,"3",,,,,,,
35,194956,198968,"4",,,,,,,
36,207844,213111,"1",,,,,,,
37,213112,213961,"2",,,,,,,
38,213962,215967,"3",,,,,,,
39,215968,216988,"4",,,,,,,
40,226430,231709,"1",,,,,,,
41,231710,232321,"2",,,,,,,
42,232322,233681,"3",,,,,,,
43,233682,235042,"4",,,,,,,
44,243480,248471,"1",,,,,,,
45,248472,249423,"2",,,,,,,
46,249424,249933,"3",,,,,,,
47,249934,252416,"4",,,,,,,
