phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,110351,115327,"1",0,115327,0,"1","","","","",
1,115328,116517,"2",1,116517,0,"0","","","","",
2,116579,116857,"3",2,116857,0,"0","","","","",
3,116858,120802,"4",3,120802,0,"1","","","","",
4,131642,137053,"1",4,137053,0,"2","","","","",
5,137054,138005,"2",5,138005,0,"0","","","","",
6,138006,138005,"3",6,138006,0,"0","","","","",
7,138006,141168,"4",7,141168,0,"1","","","","",
8,150860,156161,"1",8,156161,0,"1","","","","",
9,156162,156977,"2",9,156977,0,"0","","","","",
10,156978,156977,"3",10,156978,0,"0","","","","",
11,156978,160140,"4",11,160140,0,"0","","","","",
12,171782,176901,"1",12,176901,0,"1","","","","",
13,176902,177785,"2",13,177785,0,"0","","","","",
14,177786,178397,"3",14,178397,0,"0","","","","",
15,178398,181424,"4",15,181424,0,"1","","","","",
16,193603,199137,"1",,,,,,,,,
17,199138,200157,"2",,,,,,,,,
18,200158,200667,"3",,,,,,,,,
19,200667,203626,"4",,,,,,,,,
20,214891,223583,"1",,,,,,,,,
21,223584,224467,"2",,,,,,,,,
22,224468,224807,"3",,,,,,,,,
23,224808,229602,"4",,,,,,,,,
24,247290,252177,"1",,,,,,,,,
25,252178,253129,"2",,,,,,,,,
26,253130,253503,"3",,,,,,,,,
27,253504,257278,"4",,,,,,,,,
28,269713,275331,"1",,,,,,,,,
29,275332,276147,"2",,,,,,,,,
30,276148,276147,"3",,,,,,,,,
31,276148,281758,"4",,,,,,,,,
32,294371,299845,"1",,,,,,,,,
33,299846,301000,"2",,,,,,,,,
34,301001,301272,"3",,,,,,,,,
35,301273,304232,"4",,,,,,,,,
36,317360,322965,"1",,,,,,,,,
37,322966,323951,"2",,,,,,,,,
38,323952,324019,"3",,,,,,,,,
39,324020,328202,"4",,,,,,,,,
40,342118,347343,"1",,,,,,,,,
41,347344,348431,"2",,,,,,,,,
42,348432,348600,"3",,,,,,,,,
43,348601,351662,"4",,,,,,,,,
44,365208,370055,"1",,,,,,,,,
45,370056,371075,"2",,,,,,,,,
46,371076,371312,"3",,,,,,,,,
47,371313,374340,"4",,,,,,,,,
