phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,85085,89861,"1",0,89861,0,"2","","","","",
1,89862,90677,"2",1,89964,0,"0","","","","",
2,90678,91459,"3",2,91459,0,"0","","","","",
3,91460,92854,"4",3,92854,0,"0","","","","",
4,102303,107813,"1",4,107813,0,"2","","","","",
5,107814,108493,"2",5,108493,0,"0","","","","",
6,108494,108493,"3",6,108494,0,"0","","","","",
7,108494,110772,"4",7,110772,0,"0","","","","",
8,120021,124745,"1",8,124745,0,"2","","","","",
9,124746,125493,"2",9,125493,0,"0","","","","",
10,125494,126581,"3",10,126581,0,"0","","","","",
11,126582,127806,"4",11,127806,0,"0","","","","",
12,139240,144567,"1",12,144567,0,"2","","","","",
13,144568,145451,"2",13,145451,0,"0","","","","",
14,145452,145553,"3",14,145452,0,"0","","","","",
15,145554,148104,"4",15,148104,0,"0","","","","",
16,158192,163777,"1",,,,,,,,,
17,163778,164525,"2",,,,,,,,,
18,164526,165001,"3",,,,,,,,,
19,165002,167416,"4",,,,,,,,,
20,178980,184143,"1",,,,,,,,,
21,184144,184891,"2",,,,,,,,,
22,184892,185299,"3",,,,,,,,,
23,185300,188802,"4",,,,,,,,,
24,200935,206413,"1",,,,,,,,,
25,206414,207127,"2",,,,,,,,,
26,207128,207127,"3",,,,,,,,,
27,207128,210052,"4",,,,,,,,,
28,220254,225657,"1",,,,,,,,,
29,225658,226303,"2",,,,,,,,,
30,226304,226303,"3",,,,,,,,,
31,226304,229024,"4",,,,,,,,,
32,240074,245751,"1",,,,,,,,,
33,245752,246567,"2",,,,,,,,,
34,246568,246771,"3",,,,,,,,,
35,246772,249322,"4",,,,,,,,,
36,261462,266627,"1",,,,,,,,,
37,266628,267511,"2",,,,,,,,,
38,267512,267579,"3",,,,,,,,,
39,267580,270164,"4",,,,,,,,,
40,281081,286075,"1",,,,,,,,,
41,286076,286619,"2",,,,,,,,,
42,286620,286619,"3",,,,,,,,,
43,286620,289170,"4",,,,,,,,,
44,300868,305216,"1",,,,,,,,,
45,305217,306000,"2",,,,,,,,,
46,306000,306169,"3",,,,,,,,,
47,306169,308448,"4",,,,,,,,,
