phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,90889,96355,"1",0,96355,0,"2","","","","",
1,96356,97273,"2",1,97273,0,"0","","","","",
2,97274,98667,"3",2,98667,0,"0","","","","",
3,98668,101932,"4",3,101932,0,"1","","","","",
4,111697,117061,"1",4,117061,0,"2","","","","",
5,117062,117741,"2",5,117741,0,"0","","","","",
6,117742,118319,"3",6,118319,0,"0","","","","",
7,118320,120598,"4",7,120598,0,"0","","","","",
8,130016,135727,"1",8,135727,0,"2","","","","",
9,135728,136509,"2",9,136509,0,"0","","","","",
10,136510,136679,"3",10,136679,0,"0","","","","",
11,136680,138584,"4",11,138584,0,"0","","","","",
12,148934,154427,"1",12,154427,0,"1","","","","",
13,154428,155277,"2",13,155277,0,"0","","","","",
14,155278,156195,"3",14,156195,0,"0","","","","",
15,156196,167110,"4",15,167110,0,"2","","","","",
16,188240,193629,"1",,,,,,,,,
17,193630,194479,"2",,,,,,,,,
18,194480,195091,"3",,,,,,,,,
19,195092,199546,"4",,,,,,,,,
20,208694,214403,"1",,,,,,,,,
21,214404,215166,"2",,,,,,,,,
22,215167,215695,"3",,,,,,,,,
23,215696,222462,"4",,,,,,,,,
24,234086,239223,"1",,,,,,,,,
25,239224,239971,"2",,,,,,,,,
26,239972,240957,"3",,,,,,,,,
27,240958,262242,"4",,,,,,,,,
28,280865,286245,"1",,,,,,,,,
29,286246,287197,"2",,,,,,,,,
30,287198,287299,"3",,,,,,,,,
31,287300,295426,"4",,,,,,,,,
32,307259,311949,"1",,,,,,,,,
33,311950,312799,"2",,,,,,,,,
34,312800,313071,"3",,,,,,,,,
35,313072,315622,"4",,,,,,,,,
36,326111,331397,"1",,,,,,,,,
37,331398,332179,"2",,,,,,,,,
38,332180,333912,"3",,,,,,,,,
39,333913,335104,"4",,,,,,,,,
40,349568,353871,"1",,,,,,,,,
41,353872,354687,"2",,,,,,,,,
42,354688,354755,"3",,,,,,,,,
43,354756,365364,"4",,,,,,,,,
44,376028,380595,"1",,,,,,,,,
45,380596,381275,"2",,,,,,,,,
46,381276,381648,"3",,,,,,,,,
47,381649,383112,"4",,,,,,,,,
