phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,89126,94281,"1",0,92854,0,"3","","","","",
1,94282,94961,"2",1,94961,0,"1","","","","",
2,94962,95573,"3",2,95573,0,"0","","","","",
3,95574,97036,"4",3,97036,0,"0","","","","",
4,106507,111247,"1",4,111247,0,"2","","","","",
5,111248,112029,"2",5,112029,0,"1","","","","",
6,112030,113117,"3",6,113117,0,"0","","","","",
7,113118,115192,"4",7,115192,0,"0","","","","",
8,125226,130185,"1",8,130185,0,"1","","","","",
9,130186,130865,"2",9,130865,0,"0","","","","",
10,130866,131579,"3",10,130866,0,"0","","","","",
11,131580,133042,"4",11,133042,0,"0","","","","",
12,144378,148715,"1",12,148715,0,"2","","","","",
13,148716,149565,"2",13,149565,0,"0","","","","",
14,149566,150313,"3",14,150313,0,"0","","","","",
15,150314,151572,"4",15,151572,0,"0","","","","",
16,161428,165749,"1",,,,,,,,,
17,165750,166769,"2",,,,,,,,,
18,166770,167313,"3",,,,,,,,,
19,167314,168844,"4",,,,,,,,,
20,180447,185265,"1",,,,,,,,,
21,185266,185979,"2",,,,,,,,,
22,185980,186455,"3",,,,,,,,,
23,186456,188292,"4",,,,,,,,,
24,200267,205529,"1",,,,,,,,,
25,205530,206209,"2",,,,,,,,,
26,206210,206889,"3",,,,,,,,,
27,206890,208726,"4",,,,,,,,,
28,219954,219980,"1",,,,,,,,,
29,224910,225725,"2",,,,,,,,,
30,225726,226235,"3",,,,,,,,,
31,226236,228242,"4",,,,,,,,,
32,240674,245683,"1",,,,,,,,,
33,245684,246567,"2",,,,,,,,,
34,246568,246703,"3",,,,,,,,,
35,246704,248778,"4",,,,,,,,,
36,260027,264859,"1",,,,,,,,,
37,264860,265743,"2",,,,,,,,,
38,265744,265879,"3",,,,,,,,,
39,265880,268022,"4",,,,,,,,,
40,293793,298451,"1",,,,,,,,,
41,298452,299267,"2",,,,,,,,,
42,299268,300592,"3",,,,,,,,,
43,300593,301648,"4",,,,,,,,,
44,313414,317967,"1",,,,,,,,,
45,317968,318783,"2",,,,,,,,,
46,318784,319055,"3",,,,,,,,,
47,319056,321470,"4",,,,,,,,,
