phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,97792,102849,"1",0,102849,0,"2","","","","",
1,102850,103767,"2",1,103767,0,"0","","","","",
2,103768,104311,"3",2,104311,0,"0","","","","",
3,104312,107304,"4",3,107304,0,"0","","","","",
4,119214,125221,"1",4,122400,0,"3","","","","",
5,125222,126003,"2",5,126003,0,"0","","","","",
6,126004,129335,"3",6,127228,0,"1","","","","",
7,129336,131852,"4",7,131852,0,"2","","","","",
8,142104,148477,"1",8,147118,0,"3","","","","",
9,148478,149395,"2",9,149395,0,"1","","","","",
10,149396,151877,"3",10,149396,0,"0","","","","",
11,151878,152932,"4",11,152932,0,"0","","","","",
12,163258,169455,"1",12,169455,0,"2","","","","",
13,169456,170203,"2",13,170203,0,"0","","","","",
14,170204,172753,"3",14,172753,0,"0","","","","",
15,172754,173604,"4",15,173604,0,"0","","","","",
16,187115,193289,"1",,,,,,,,,
17,193290,194343,"2",,,,,,,,,
18,194344,196689,"3",,,,,,,,,
19,196690,198186,"4",,,,,,,,,
20,208136,214131,"1",,,,,,,,,
21,214132,214981,"2",,,,,,,,,
22,214982,216919,"3",,,,,,,,,
23,216920,218790,"4",,,,,,,,,
24,229591,235823,"1",,,,,,,,,
25,235824,236673,"2",,,,,,,,,
26,236674,239359,"3",,,,,,,,,
27,239360,241740,"4",,,,,,,,,
28,253482,259249,"1",,,,,,,,,
29,259250,260065,"2",,,,,,,,,
30,260066,263465,"3",,,,,,,,,
31,263466,264656,"4",,,,,,,,,
32,276204,282301,"1",,,,,,,,,
33,282302,283219,"2",,,,,,,,,
34,283220,283287,"3",,,,,,,,,
35,283288,287878,"4",,,,,,,,,
36,300128,305285,"1",,,,,,,,,
37,305286,306304,"2",,,,,,,,,
38,306305,308923,"3",,,,,,,,,
39,308924,311916,"4",,,,,,,,,
40,325353,331056,"1",,,,,,,,,
41,331057,332144,"2",,,,,,,,,
42,332145,335952,"3",,,,,,,,,
43,335952,337382,"4",,,,,,,,,
44,350177,355808,"1",,,,,,,,,
45,355809,356591,"2",,,,,,,,,
46,356592,356896,"3",,,,,,,,,
47,356897,361148,"4",,,,,,,,,
