phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,52720,57494,1,1,57457,0,1,0
2,57494,58412,2,2,58358,0,0,0
3,58412,58649,3,3,58649,0,0,0
4,58650,61473,4,4,61473,0,0,0
5,70004,74608,1,5,74608,0,1,0
6,74609,75649,2,6,75649,0,0,0
7,75650,76376,3,7,76376,0,0,0
8,76377,78914,4,8,78914,0,0,0
9,88874,93160,1,9,93226,0,1,0
10,93160,93894,2,10,93894,0,0,0
11,93895,93941,3,11,93941,0,0,0
12,93942,96254,4,12,96423,0,0,0
13,104138,108902,1,13,109042,0,2,0
14,108902,109888,2,14,109819,0,0,0
15,109888,109989,3,15,109989,0,0,0
16,109990,112778,4,16,112778,0,1,0
17,121322,125562,1,17,125792,0,2,0
18,125562,126541,2,18,126541,0,1,0
19,126542,126683,3,19,126683,0,0,0
20,126684,129880,4,20,129880,0,0,0
21,139407,144811,1,21,144811,0,2,0
22,144812,146029,2,22,146029,0,0,0
23,146030,146131,3,23,146131,0,0,0
24,146132,149022,4,24,147186,0,2,0
25,159260,163497,1,25,163497,0,1,0
26,163498,164423,2,26,164423,0,0,0
27,164424,164457,3,27,164457,0,0,0
28,164458,166974,4,28,167097,0,0,0
29,178579,183650,1,29,183650,0,2,0
30,183651,184483,2,30,184483,0,1,0
31,184484,184551,3,31,184551,0,0,0
32,184552,188122,4,32,188122,0,0,0
33,200368,204408,1,33,202362,0,1,0
34,204408,205257,2,34,205257,0,0,0
35,205258,205291,3,35,205291,0,0,0
36,205292,208546,4,36,208546,0,0,0
37,217719,222622,1,37,222622,0,1,0
38,222623,223549,2,38,223549,0,0,0
39,223550,223685,3,39,223685,0,0,0
40,223686,227222,4,40,227222,0,1,0
41,239040,243643,1,41,243643,0,1,0
42,243644,244494,2,42,244459,0,1,0
43,244494,245173,3,43,244460,0,0,0
44,245174,247112,4,44,247112,0,0,0
45,255890,260127,1,45,260127,0,0,0
46,260128,260983,2,46,260983,0,0,0
47,260984,261151,3,47,261151,0,0,0
48,261152,263568,4,48,263568,0,0,0
