phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,57291,62253,1,1,62253,0,2,0
2,62254,62933,2,2,62933,0,0,0
3,62934,63817,3,3,63817,0,0,0
4,63818,64940,4,4,64940,0,0,0
5,72907,78335,1,5,78335,0,3,0
6,78336,79117,2,6,79117,0,0,0
7,79118,79831,3,7,79831,0,0,0
8,79832,81872,4,8,81872,0,0,0
9,90091,95267,1,9,95267,0,2,0
10,95268,95947,2,10,95947,0,0,0
11,95948,96797,3,11,96797,0,0,0
12,96798,99246,4,12,99246,0,0,0
13,108342,114579,1,13,114579,0,1,1
14,114580,115463,2,14,115463,0,0,0
15,115464,144737,3,15,144737,0,5,1
16,144738,145758,4,16,144738,0,1,0
17,155856,161771,1,17,161771,0,2,0
18,161772,162519,2,18,162519,0,0,0
19,162520,165205,3,19,165205,0,0,0
20,165206,166260,4,20,166260,0,0,0
21,175576,180947,1,21,176018,0,2,0
22,180948,181831,2,22,181831,0,1,0
23,181832,185809,3,23,185809,0,1,0
24,185810,186796,4,24,186796,0,0,0
25,198064,203693,1,25,203693,0,2,0
26,203694,204441,2,26,204441,0,0,0
27,204442,207059,3,27,207059,0,1,0
28,207060,208182,4,28,208182,0,0,0
29,216550,222291,1,29,222291,0,2,0
30,222292,223277,2,30,223277,0,0,0
31,223278,227017,3,31,227017,0,1,0
32,227018,228208,4,32,228208,0,1,0
33,242976,248437,1,33,248437,0,1,0
34,248438,249117,2,34,249117,0,0,0
35,249118,249661,3,35,249661,0,0,0
36,249662,253062,4,36,253062,0,0,0
37,262028,267171,1,37,267171,0,3,0
38,267172,268123,2,38,268123,0,0,0
39,268124,269381,3,39,269381,0,1,0
40,269382,270844,4,40,270844,0,1,0
41,280214,285871,1,41,285871,0,1,0
42,285872,286551,2,42,286551,0,0,0
43,286552,289509,3,43,286892,0,0,0
44,289510,290394,4,44,290394,0,0,0
45,299767,306067,1,45,306067,0,1,0
46,306068,307120,2,46,307120,0,0,0
47,307121,320448,3,47,320448,0,1,0
48,320449,321844,4,48,321844,0,0,0
