phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,57224,63341,1,1,62719,0,0,0
2,63342,64088,2,2,64088,0,0,0
3,64089,66911,3,3,66911,0,0,0
4,66912,68272,4,4,68272,0,0,0
5,78930,86495,1,5,86495,0,1,0
6,86496,87413,2,6,87413,0,0,0
7,87414,91017,3,7,91017,0,0,0
8,91018,93126,4,8,93126,0,0,0
9,103604,110057,1,9,110057,0,1,0
10,110058,110771,2,10,110771,0,0,0
11,110772,113967,3,11,113967,0,0,0
12,113968,115328,4,12,115328,0,0,0
13,127795,136441,1,13,136441,0,1,0
14,136442,137359,2,14,137359,0,0,0
15,137360,142221,3,15,142221,0,0,0
16,142222,145724,4,16,142221,0,1,0
17,155956,162349,1,17,162349,0,1,0
18,162350,163097,2,18,163097,0,0,0
19,163098,166259,3,19,166259,0,0,0
20,166260,168538,4,20,168538,0,0,0
21,177644,184551,1,21,184551,0,1,0
22,184552,185435,2,22,185435,0,0,0
23,185436,188529,3,23,188529,0,0,0
24,188530,212111,4,24,198322,0,0,0
25,212112,219197,1,25,219197,0,1,0
26,219198,220013,2,26,220013,0,1,0
27,220014,220489,3,27,220489,0,0,0
28,220490,224910,4,28,224910,0,0,0
29,234000,240889,1,29,240889,0,1,0
30,240890,241603,2,30,241603,0,0,0
31,241604,243507,3,31,243507,0,0,0
32,243508,252654,4,32,252654,0,2,0
33,265432,271271,1,33,271271,0,1,0
34,271272,272611,2,34,272611,0,0,0
35,272612,272815,3,35,272612,0,0,0
36,272816,286960,4,36,286960,0,0,0
37,295361,303517,1,37,303517,0,1,0
38,303518,304304,2,38,304304,0,0,0
39,304305,305184,3,39,305184,0,0,0
40,305184,308176,4,40,308176,0,1,0
41,318819,325616,1,41,325616,0,1,0
42,325617,326263,2,42,326263,0,0,0
43,326264,327045,3,43,327045,0,0,0
44,327046,332860,4,44,327046,0,1,0
45,343841,351967,1,45,351967,0,2,0
46,351968,352816,2,46,352816,0,1,0
47,352817,353904,3,47,353904,0,0,0
48,353905,369961,4,48,369961,0,1,0
