phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,52091,56201,1,1,52091,0,1,0
2,56202,57221,2,2,52091,0,0,0
3,57222,59431,3,3,59431,0,0,0
4,59432,60486,4,4,60486,0,0,0
5,71911,76159,1,5,76159,0,0,0
6,76160,77179,2,6,77179,0,0,0
7,77180,80375,3,7,80375,0,0,0
8,80376,82975,4,8,82975,0,1,0
9,94901,98837,1,9,98837,0,1,0
10,98838,99789,2,10,99789,0,0,0
11,99790,100945,3,11,100945,0,0,0
12,100946,103768,4,12,103768,0,0,0
13,116055,120733,1,13,120733,0,1,0
14,120734,121923,2,14,121923,0,0,0
15,121924,125221,3,15,125221,0,0,0
16,125222,127160,4,16,127160,0,0,0
17,138611,143003,1,17,143003,0,1,0
18,143004,144057,2,18,144057,0,0,0
19,144058,144839,3,19,144839,0,0,0
20,144840,149056,4,20,149056,0,0,0
21,160667,165307,1,21,165307,0,1,0
22,165308,166531,2,22,166531,0,1,0
23,166532,167721,3,23,167721,0,0,0
24,167722,171020,4,24,171020,0,0,0
25,186792,190671,1,25,190671,0,1,0
26,190672,191453,2,26,191453,0,0,0
27,191454,193357,3,27,193357,0,0,0
28,193358,195840,4,28,195840,0,0,0
29,211616,215899,1,29,215899,0,2,0
30,215900,216851,2,30,216851,0,0,0
31,216852,218007,3,31,218007,0,0,0
32,218008,220422,4,32,220422,0,0,0
33,234774,239427,1,33,239427,0,1,0
34,239428,240311,2,34,240311,0,1,0
35,240312,242793,3,35,242793,0,0,0
36,242794,246083,4,36,246083,0,0,0
37,259999,264621,1,37,264621,0,1,0
38,264622,265777,2,38,265777,0,0,0
39,265778,271863,3,39,271863,0,1,0
40,271864,275502,4,40,275502,0,2,0
41,290496,295357,1,41,295357,0,1,0
42,295358,296309,2,42,296309,0,0,0
43,296310,297023,3,43,297023,0,0,0
44,297024,299642,4,44,299642,0,0,0
45,314120,318443,1,45,318443,0,1,0
46,318444,319360,2,46,319360,0,1,0
47,319361,321843,3,47,321843,0,0,0
48,321844,323374,4,48,323374,0,0,0
