phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,48070,54229,1,1,53244,0,1,0
2,54230,55011,2,2,55011,0,0,0
3,55012,55555,3,3,55555,0,0,0
4,55556,58140,4,4,58140,0,0,0
5,79801,85543,1,5,85543,0,1,0
6,85544,86529,2,6,86529,0,1,0
7,86530,87107,3,7,87107,0,0,0
8,87108,89386,4,8,89386,0,0,0
9,101356,107337,1,9,101356,0,2,0
10,107338,108187,2,10,108187,0,0,0
11,108188,108425,3,11,108425,0,0,0
12,108426,111826,4,12,111826,0,0,0
13,122511,128995,1,13,122511,0,2,0
14,128996,130015,2,14,130015,0,0,0
15,130016,130049,3,15,130049,0,0,0
16,130050,134708,4,16,134708,0,1,0
17,145200,151673,1,17,151673,0,2,0
18,151674,152523,2,18,152523,0,0,0
19,152524,152931,3,19,152931,0,0,0
20,152932,155040,4,20,155040,0,0,0
21,164986,170271,1,21,170271,0,1,0
22,170272,171291,2,22,171291,0,1,0
23,171292,171461,3,23,171461,0,0,0
24,171462,174182,4,24,171462,0,0,0
25,190744,196995,1,25,196995,0,1,0
26,196996,197879,2,26,197879,0,0,0
27,197880,198049,3,27,198049,0,0,0
28,198050,201110,4,28,201110,0,0,0
29,211700,218517,1,29,212738,0,2,0
30,218518,219605,2,30,219605,0,1,0
31,219606,220013,3,31,219878,0,1,0
32,220014,229534,4,32,229534,0,2,1
33,241796,247452,1,33,247452,0,1,0
34,247452,248267,2,34,248267,0,1,0
35,248268,249321,3,35,249321,0,0,0
36,249322,251328,4,36,251328,0,0,0
37,262450,267987,1,37,267987,0,1,0
38,267988,268904,2,38,268904,0,1,0
39,268905,270536,3,39,270536,0,1,0
40,270537,274992,4,40,274992,0,1,1
41,291880,297635,1,41,297635,0,2,0
42,297636,298315,2,42,298315,0,0,0
43,298316,298824,3,43,298824,0,0,0
44,298825,301172,4,44,301172,0,0,0
45,312701,319632,1,45,319632,0,3,0
46,319633,320653,2,46,320653,0,1,0
47,320654,321027,3,47,321027,0,0,0
48,321028,323884,4,48,323884,0,1,0
