phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,50625,55488,1,1,54895,0,1,0
2,55488,56196,2,2,56196,0,1,0
3,56197,58378,3,3,58332,0,0,0
4,58378,59978,4,4,59978,0,0,0
5,70378,75956,1,5,75382,0,1,0
6,75956,76772,2,6,76684,0,1,0
7,76772,79457,3,7,79457,0,1,0
8,79458,80104,4,8,80104,0,1,0
9,90432,94588,1,9,94068,0,2,0
10,94588,95202,2,10,95202,0,1,0
11,95203,96695,3,11,96695,0,0,0
12,96696,97478,4,12,97478,0,0,0
13,106548,112302,1,13,106548,0,0,0
14,112302,113117,2,14,113117,0,0,0
15,113118,115599,3,15,115599,0,0,0
16,115600,116484,4,16,116484,0,0,0
17,128670,133552,1,17,132973,0,1,0
18,133552,134334,2,18,134367,0,0,0
19,134334,136577,3,19,136577,0,0,0
20,136578,137462,4,20,137462,0,0,0
21,148288,153510,1,21,152793,0,1,0
22,153510,154327,2,22,154327,0,1,0
23,154328,154937,3,23,154937,0,0,0
24,154938,156910,4,24,156910,0,0,0
25,168976,174386,1,25,173858,0,1,0
26,174386,175082,2,26,175082,0,1,0
27,175083,175683,3,27,175683,0,0,0
28,175684,177511,4,28,177511,0,0,0
29,189364,193970,1,29,193199,0,0,0
30,193970,194785,2,30,194785,0,0,0
31,194786,195193,3,31,195193,0,0,0
32,195194,198320,4,32,198320,0,1,0
33,209050,213894,1,33,213112,0,2,0
34,213894,214437,2,34,214437,0,1,0
35,214438,216390,3,35,216390,0,0,0
36,216391,217328,4,36,217260,0,0,0
37,227368,232628,1,37,227368,0,1,0
38,232628,233376,2,38,233273,0,1,0
39,233376,236027,3,39,236027,0,0,0
40,236028,237082,4,40,237082,0,1,0
41,248022,252586,1,41,252326,0,1,0
42,252586,253435,2,42,253435,0,1,0
43,253436,254217,3,43,254217,0,0,0
44,254218,259352,4,44,259352,0,0,0
45,270177,274414,1,45,273947,0,1,0
46,274414,275467,2,46,275467,0,0,0
47,275468,275637,3,47,275637,0,0,0
48,275638,278596,4,48,278596,0,0,0
