phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,64046,67659,1,1,67659,0,1,0
2,67660,68509,2,2,68509,0,0,0
3,68510,69155,3,3,69155,0,0,0
4,69156,70958,4,4,70958,0,0,0
5,83999,88569,1,5,88569,0,2,0
6,88570,89725,2,6,89725,0,0,0
7,89726,90473,3,7,90473,0,0,0
8,90474,92378,4,8,92378,0,1,0
9,105788,109989,1,9,109989,0,2,0
10,109990,110703,2,10,110703,0,0,0
11,110704,111723,3,11,111723,0,0,0
12,111724,113458,4,12,113458,0,0,0
13,125941,130422,1,13,130422,0,2,0
14,130423,131443,2,14,131443,0,0,0
15,131444,133789,3,15,133789,0,0,0
16,133790,134538,4,16,134538,0,0,0
17,146862,150755,1,17,150755,0,1,0
18,150756,151503,2,18,151503,0,0,0
19,151504,152251,3,19,152251,0,0,0
20,152252,154224,4,20,154224,0,0,0
21,167248,171733,1,21,171733,0,2,0
22,171734,172617,2,22,172617,0,0,0
23,172618,175507,3,23,175507,0,0,0
24,175508,176664,4,24,176664,0,0,0
25,189338,193935,1,25,193935,0,2,0
26,193936,195057,2,26,195057,0,0,0
27,195058,195431,3,27,195431,0,0,0
28,195432,197540,4,28,197540,0,0,0
29,212660,217225,1,29,217225,0,2,0
30,217226,218245,2,30,218245,0,0,0
31,218246,220217,3,31,220217,0,0,0
32,220218,221102,4,32,221102,0,0,0
33,235552,238951,1,33,238951,0,1,0
34,238952,239699,2,34,239699,0,0,0
35,239700,240617,3,35,240617,0,0,0
36,240618,242284,4,36,242284,0,0,0
37,253435,257685,1,37,257685,0,1,0
38,257686,258705,2,38,258705,0,0,0
39,258706,259827,3,39,259827,0,0,0
40,259828,261868,4,40,261868,0,0,0
41,275257,279581,1,41,279581,0,1,0
42,279582,280328,2,42,280328,0,0,0
43,280329,281247,3,43,281247,0,0,0
44,281248,283560,4,44,283560,0,0,0
45,297145,301952,1,45,301952,0,3,0
46,301953,302768,2,46,302768,0,1,0
47,302769,305080,3,47,305080,0,0,0
48,305081,306170,4,48,306170,0,0,0
