phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude,
1,44216,48686,1,1,48686,0,2,0,
2,48687,49673,2,2,49673,0,0,0,
3,49674,52971,3,3,52971,0,0,0,
4,52972,55454,4,4,55454,0,1,0,
5,63835,68816,1,5,68472,0,2,0,
6,68816,70006,2,6,69903,0,0,0,
7,70006,96219,3,7,96219,0,3,0,
8,96220,97444,4,8,97444,0,1,0,
9,106044,110247,1,9,110247,0,2,0,
10,110248,110982,2,10,110982,0,0,0,
11,110983,114069,3,11,114069,0,0,0,
12,114070,115158,4,12,123461,0,0,0,
13,123462,127534,1,13,127698,0,1,0,
14,127534,128588,2,14,128383,0,0,0,
15,128588,132225,3,15,132225,0,0,0,
16,132226,133096,4,16,133096,0,1,0,
17,144082,146948,1,17,147751,0,2,1,timing error
18,146948,147866,2,18,149887,0,1,1,timing error
19,147866,152217,3,19,152217,0,1,1,timing error
20,152217,152898,4,20,152898,0,0,0,
21,161532,165818,1,21,165635,0,2,0,
22,165818,166838,2,22,166769,0,0,0,
23,166838,170135,3,23,170135,0,0,0,
24,170135,171224,4,24,171224,0,1,0,
25,182020,186757,1,25,186757,0,1,0,
26,186758,187509,2,26,187509,0,0,0,
27,187510,190399,3,27,190399,0,0,0,
28,190400,191182,4,28,191182,0,0,0,
29,198936,203074,1,29,203074,0,2,0,
30,203075,203965,2,30,203965,0,0,0,
31,203966,207977,3,31,207977,0,0,0,
32,207978,208760,4,32,208760,0,0,0,
33,218123,221918,1,33,222326,0,1,0,
34,221918,223005,2,34,223005,0,0,0,
35,223006,226065,3,35,226065,0,0,0,
36,226066,227222,4,36,227222,0,0,0,
37,236908,241230,1,37,241511,0,0,0,
38,241230,242385,2,38,242385,0,0,0,
39,242386,255576,3,39,255577,0,0,0,
40,255578,257346,4,40,257346,0,0,0,
41,268707,273564,1,41,273110,0,2,0,
42,273564,274244,2,42,274175,0,1,0,
43,274244,277031,3,43,277031,0,0,0,
44,277032,278188,4,44,278188,0,0,0,
45,287159,291896,1,45,291896,0,2,0,
46,291897,292875,2,46,292875,0,0,0,
47,292876,297535,3,47,297535,0,0,0,
48,297536,298962,4,48,298962,0,1,0,
