phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,65097,70311,1,1,70311,0,1,0
2,70312,71093,2,2,71093,0,0,0
3,71094,71637,3,3,71637,0,0,0
4,71638,73746,4,4,73746,0,0,0
5,83115,90813,1,5,90813,0,1,0
6,90814,91935,2,6,91935,0,0,0
7,91936,93397,3,7,93397,0,0,0
8,93398,94792,4,8,93398,0,0,0
9,105938,111077,1,9,111077,0,1,0
10,111078,112097,2,10,112097,0,0,0
11,112098,112301,3,11,112301,0,0,0
12,112302,115770,4,12,115770,0,0,0
13,127493,133619,1,13,133619,0,2,0
14,133620,134265,2,14,134265,0,0,0
15,134266,137597,3,15,137597,0,1,0
16,137598,138822,4,16,138822,0,1,0
17,149080,153951,1,17,153951,0,1,0
18,153952,154665,2,18,154665,0,0,0
19,154666,155413,3,19,155413,0,0,0
20,155414,157590,4,20,157590,0,0,0
21,166999,172583,1,21,169354,0,1,0
22,172584,173501,2,22,173501,0,0,0
23,173502,173909,3,23,173909,0,0,0
24,173910,178194,4,24,177786,0,0,0
25,197763,203523,1,25,202266,0,2,0
26,203524,204339,2,26,204339,0,1,0
27,204340,204611,3,27,204611,0,0,0
28,204612,214030,4,28,214030,0,2,1
29,224223,229635,1,29,229635,0,1,0
30,229636,230519,2,30,229874,0,0,0
31,230520,230927,3,31,230927,0,0,0
32,230928,234158,4,32,234158,0,0,0
33,248280,254761,1,33,254761,0,2,0
34,254762,255543,2,34,255543,0,0,0
35,255544,255985,3,35,255985,0,0,0
36,255986,268328,4,36,268328,0,3,1
37,279745,285088,1,37,285088,0,0,0
38,285089,286040,2,38,286040,0,0,0
39,286041,286245,3,39,286245,0,0,0
40,286246,289136,4,40,286280,0,1,1
41,305103,309943,1,41,309943,0,1,0
42,309944,310792,2,42,310792,0,0,0
43,310793,311608,3,43,311608,0,0,0
44,311609,314772,4,44,314772,0,0,0
45,324323,329832,1,45,329832,0,1,0
46,329833,330615,2,46,330615,0,0,0
47,330616,330920,3,47,330920,0,0,0
48,330921,333506,4,48,333506,0,0,0
