phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,45123,48824,1,1,48959,0,2,0
2,48824,49571,2,2,49571,0,0,0
3,49572,50115,3,3,50115,0,0,0
4,50116,51714,4,4,51714,0,0,0
5,61506,66232,1,5,66477,0,1,0
6,66232,67251,2,6,67251,0,0,0
7,67252,68212,3,7,68212,0,0,0
8,68213,70822,4,8,70822,0,1,0
9,79591,83794,1,9,83794,0,2,0
10,83795,84932,2,10,84829,0,0,0
11,84932,85068,3,11,84965,0,0,0
12,85068,89990,4,12,89990,0,0,0
13,99077,103648,1,13,99077,0,1,0
14,103648,104949,2,14,104949,0,0,0
15,104950,105569,3,15,105569,0,0,0
16,105570,108698,4,16,108698,0,0,0
17,119097,123522,1,17,123834,0,2,0
18,123522,124535,2,18,124535,0,0,0
19,124536,124575,3,19,124575,0,0,0
20,124576,127126,4,20,127553,0,0,0
21,136548,140556,1,21,140851,0,1,0
22,140556,141719,2,22,141719,0,0,0
23,141720,141779,3,23,141779,0,0,0
24,141780,144296,4,24,144631,0,0,0
25,154832,158848,1,25,159270,0,1,0
26,158848,160003,2,26,160003,0,0,0
27,160004,160905,3,27,160905,0,0,0
28,160906,163030,4,28,163139,0,0,0
29,172316,177174,1,29,177221,0,0,0
30,177174,178159,2,30,178159,0,0,0
31,178160,181593,3,31,181593,0,1,0
32,181594,207073,4,32,207073,0,4,0
33,220999,225488,1,33,225735,0,1,0
34,225488,226405,2,34,226405,0,0,0
35,226406,227460,3,35,227357,0,0,0
36,227460,229704,4,36,229534,0,0,0
37,239551,243882,1,37,244017,0,1,0
38,243882,244822,2,38,244822,0,1,0
39,244823,244901,3,39,244901,0,0,0
40,244902,247316,4,40,247316,0,0,0
41,256668,261338,1,41,261338,0,1,0
42,261339,262106,2,42,262106,0,0,0
43,262107,262513,3,43,262513,0,0,0
44,262514,269688,4,44,269620,0,1,0
45,278823,283152,1,45,283460,0,1,0
46,283152,284342,2,46,284261,0,0,0
47,284342,285629,3,47,285629,0,0,0
48,285630,299676,4,48,299676,0,2,0
