phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,29960,33863,1,1,33863,0,1,0
2,33864,34815,2,2,34815,0,0,0
3,34816,34951,3,3,34951,0,0,0
4,34952,36856,4,4,36856,0,0,0
5,44275,49945,1,5,49945,0,1,0
6,49946,50795,2,6,50795,0,0,0
7,50796,51203,3,7,51203,0,0,0
8,51204,53210,4,8,53210,0,0,0
9,61525,65857,1,9,65857,0,1,0
10,65858,66605,2,10,66605,0,0,0
11,66606,66741,3,11,66741,0,0,0
12,66742,71264,4,12,71264,0,0,0
13,79877,84829,1,13,84829,0,0,0
14,84830,85815,2,14,85815,0,0,0
15,85816,86427,3,15,86427,0,0,0
16,86428,94316,4,16,94316,0,3,0
17,104935,109989,1,17,109989,0,0,1
18,109990,110907,2,18,110907,0,0,0
19,110908,111077,3,19,111077,0,0,0
20,111078,113254,4,20,113254,0,0,0
21,122987,128689,1,21,128689,0,1,1
22,128690,129844,2,22,129574,0,0,0
23,129845,130491,3,23,130491,0,0,0
24,130492,132192,4,24,132192,0,0,0
25,148344,154087,1,25,154087,0,1,0
26,154088,154869,2,26,154869,0,0,0
27,154870,155175,3,27,155175,0,0,0
28,155176,162044,4,28,162044,0,0,0
29,170100,175711,1,29,175711,0,0,1
30,175712,176867,2,30,176867,0,0,0
31,176868,177207,3,31,177207,0,0,0
32,177208,184382,4,32,184382,0,2,0
33,198295,201449,1,33,201449,0,0,0
34,201450,202401,2,34,202401,0,0,0
35,202402,202435,3,35,202435,0,0,0
36,202436,211548,4,36,211548,0,0,0
37,219783,225521,1,37,225521,0,0,0
38,225522,226711,2,38,226711,0,0,0
39,226712,226745,3,39,226745,0,0,0
40,226746,231132,4,40,227766,0,1,0
41,244742,250103,1,41,250103,0,1,0
42,250104,250783,2,42,250783,0,0,0
43,250784,251191,3,43,251191,0,0,0
44,251192,258978,4,44,258978,0,0,0
45,266563,272440,1,45,266563,0,0,0
46,272441,273528,2,46,273528,0,0,0
47,273529,273563,3,47,273563,0,0,0
48,273564,279888,4,48,279888,0,0,0
