phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,61446,66707,1,1,66707,0,1,0
2,66708,67489,2,2,67489,0,0,0
3,67490,68203,3,3,68203,0,0,0
4,68204,70414,4,4,70414,0,0,0
5,78630,84115,1,5,84115,0,1,1
6,84116,84999,2,6,84999,0,0,0
7,85000,85543,3,7,85543,0,0,0
8,85544,89454,4,8,89454,0,0,1
9,100652,104957,1,9,104957,0,0,0
10,104958,106181,2,10,106181,0,0,0
11,106182,106385,3,11,106385,0,0,0
12,106386,111792,4,12,111792,0,0,0
13,119504,124983,1,13,124983,0,1,0
14,124984,125867,2,14,125867,0,0,0
15,125868,126717,3,15,126717,0,0,0
16,126718,139876,4,16,139876,0,3,1
17,150602,155821,1,17,155821,0,1,0
18,155822,157113,2,18,157113,0,0,0
19,157114,157521,3,19,157521,0,0,0
20,157522,163676,4,20,163676,0,1,0
21,171188,177037,1,21,177037,0,1,1
22,177038,177887,2,22,177887,0,0,0
23,177888,178329,3,23,178329,0,0,0
24,178330,180880,4,24,180880,0,0,0
25,209826,215899,1,25,215899,0,2,0
26,215900,216681,2,26,216681,0,0,0
27,216682,216885,3,27,216885,0,0,0
28,216886,221408,4,28,221408,0,1,0
29,230014,234225,1,29,234225,0,1,0
30,234226,235653,2,30,235653,0,0,0
31,235654,237387,3,31,237387,0,0,0
32,237388,246772,4,32,246772,0,3,1
33,261212,266355,1,33,266355,0,1,0
34,266356,267681,2,34,267681,0,0,0
35,267682,268021,3,35,268021,0,0,0
36,268022,270538,4,36,270538,0,0,0
37,278729,284477,1,37,284477,0,2,0
38,284478,285667,2,38,285667,0,0,0
39,285668,287027,3,39,287027,0,0,0
40,287028,293692,4,40,293692,0,0,0
41,303584,308039,1,41,308039,0,0,0
42,308040,309195,2,42,309195,0,0,0
43,309196,309365,3,43,309365,0,0,0
44,309366,311644,4,44,311644,0,0,0
45,323908,328779,1,45,328779,0,0,1
46,328780,330310,2,46,330310,0,0,1
47,330310,330309,3,47,330310,0,0,1
48,330310,333030,4,48,333030,0,0,1
