phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,49181,54059,1,1,49181,54059,1,0
2,54060,54876,2,2,54059,54875,1,0
3,54876,55759,3,3,54876,55758,0,0
4,55760,58684,4,4,55759,58684,0,0
5,66799,71365,1,5,66799,71364,1,0
6,71434,72216,2,6,71365,72215,0,0
7,72216,73780,3,7,72216,73779,0,0
8,73780,76228,4,8,73780,76228,1,0
9,97129,101115,1,9,97129,101114,1,0
10,101116,101762,2,10,101115,101761,0,0
11,101762,102747,3,11,101762,102746,0,0
12,102748,105604,4,12,102747,105603,0,0
13,113212,117946,1,13,113212,117945,2,0
14,117946,119033,2,14,117946,119032,0,0
15,119034,121923,3,15,119033,121922,0,0
16,121924,123862,4,16,121923,123862,1,0
17,132731,137631,1,17,132731,137630,0,0
18,137632,138379,2,18,137631,138378,0,0
19,138380,139807,3,19,138379,139806,0,0
20,139808,142052,4,20,139807,142052,0,0
21,151183,155889,1,21,151183,155888,0,0
22,155890,156807,2,22,155889,156806,0,0
23,156808,157929,3,23,156807,157928,0,0
24,157930,161738,4,24,157929,161738,1,0
25,172671,176221,1,25,172671,176220,1,0
26,176222,177139,2,26,176221,177138,0,0
27,177140,178431,3,27,177139,178430,0,0
28,178432,181084,4,28,178431,181083,0,0
29,189812,194207,1,29,189812,194206,2,0
30,194208,195125,2,30,194207,195124,0,0
31,195126,195805,3,31,195125,195804,0,0
32,195806,198492,4,32,195805,198492,0,0
33,211543,215899,1,33,211543,215898,1,0
34,215900,216749,2,34,215899,216748,0,0
35,216750,217565,3,35,216749,217564,0,0
36,217566,219674,4,36,217565,219674,0,0
37,228560,234531,1,37,228560,234530,2,0
38,234532,235517,2,38,234531,235516,0,0
39,235518,236537,3,39,235517,236536,0,0
40,236538,240754,4,40,236537,240754,2,0
41,254086,258535,1,41,254086,258534,1,0
42,258536,259350,2,42,258535,259349,0,0
43,259351,260813,3,43,259350,260812,0,0
44,260814,263500,4,44,260813,263500,0,0
45,273605,278288,1,45,273605,278287,2,0
46,278289,279240,2,46,278288,279239,0,0
47,279241,279819,3,47,279240,279818,0,0
48,279820,282064,4,48,279819,282064,0,0
