phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,55623,60451,1,1,60451,0,1,0
2,60452,61029,2,2,61029,0,0,0
3,61030,61607,3,3,61607,0,0,0
4,61608,63002,4,4,63002,0,0,0
5,69937,74731,1,5,74731,0,2,0
6,74732,75513,2,6,75513,0,0,0
7,75514,75581,3,7,75581,0,0,0
8,75582,77520,4,8,77520,0,0,0
9,85920,90643,1,9,90643,0,2,0
10,90644,91357,2,10,91357,0,1,0
11,91358,91901,3,11,91901,0,0,0
12,91902,93568,4,12,93568,0,0,0
13,101936,106759,1,13,106759,0,2,0
14,106760,107541,2,14,107541,0,0,0
15,107542,110091,3,15,110091,0,0,0
16,110092,110772,4,16,110772,0,1,0
17,119420,124575,1,17,124575,0,2,0
18,124576,125391,2,18,125391,0,0,0
19,125392,125527,3,19,125527,0,0,0
20,125528,127262,4,20,127262,0,0,0
21,135012,139467,1,21,139467,0,2,0
22,139468,140385,2,22,140385,0,0,0
23,140386,140555,3,23,140555,0,0,0
24,140556,142834,4,24,142834,0,1,0
25,151384,156433,1,25,156433,0,1,0
26,156434,157215,2,26,157215,0,0,0
27,157216,157521,3,27,157521,0,0,0
28,157522,159188,4,28,159188,0,0,0
29,166834,171597,1,29,171597,0,1,0
30,171598,172515,2,30,172515,0,0,0
31,172516,172753,3,31,172753,0,0,0
32,172754,174386,4,32,174386,0,1,0
33,183918,189141,1,33,189141,0,1,0
34,189142,189923,2,34,189923,0,0,0
35,189924,190127,3,35,190127,0,0,0
36,190128,191590,4,36,191590,0,0,0
37,201237,205937,1,37,205937,0,1,0
38,205938,206889,2,38,206889,0,0,0
39,206890,206889,3,39,206890,0,0,0
40,206890,208726,4,40,208726,0,0,0
41,217584,223073,1,41,223073,0,2,0
42,223074,223685,2,42,223685,0,0,0
43,223686,224433,3,43,224433,0,0,0
44,224434,225794,4,44,225794,0,0,0
45,233667,239121,1,45,239121,0,2,0
46,239122,240073,2,46,240073,0,0,0
47,240074,240889,3,47,240889,0,0,0
48,240890,249152,4,48,249152,0,2,0
