phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,92427,97205,"1",0,97205,0,"3","0","0","0","",
1,97206,98123,"2",1,98123,0,"0","0","0","0","",
2,98124,100095,"3",2,100095,0,"0","0","0","0","",
3,100096,101048,"4",3,101048,0,"0","0","0","0","",
4,109822,115123,"1",4,115123,0,"2","0","0","0","",
5,115124,115973,"2",5,115973,0,"0","0","0","0","",
6,115974,117911,"3",6,117911,0,"0","0","0","0","",
7,117912,119136,"4",7,119136,0,"0","0","0","0","",
8,133879,139331,"1",8,139331,0,"1","0","0","0","",
9,139332,140147,"2",9,140147,0,"0","0","0","0","",
10,140148,142833,"3",10,142833,0,"0","0","0","0","",
11,142834,143786,"4",11,143786,0,"1","0","0","0","",
12,153264,158269,"1",12,158269,0,"2","0","0","0","",
13,158270,159153,"2",13,159153,0,"0","0","0","0","",
14,159154,161499,"3",14,161499,0,"0","0","0","0","",
15,161500,162384,"4",15,162384,0,"0","0","0","0","",
16,174652,180369,"1",16,180369,0,"1","0","0","0","",
17,180370,181219,"2",17,181219,0,"0","0","0","0","",
18,181220,181933,"3",18,181933,0,"0","0","0","0","",
19,181934,183702,"4",19,183702,0,"0","0","0","0","",
20,193672,199341,"1",20,199341,0,"2","0","0","0","",
21,199342,200123,"2",21,200123,0,"0","0","0","0","",
22,200124,202299,"3",22,202299,0,"0","0","0","0","",
23,202300,203320,"4",23,203320,0,"0","0","0","0","",
24,213926,219469,"1",24,219469,0,"4","0","0","0","",
25,219470,220251,"2",25,220251,0,"0","0","0","0","",
26,220252,222019,"3",26,222019,0,"0","0","0","0","",
27,222020,222904,"4",27,222904,0,"0","0","0","0","",
28,232010,237115,"1",28,237115,0,"2","0","0","0","",
29,237116,238067,"2",29,238067,0,"1","0","0","0","",
30,238068,240311,"3",30,240311,0,"1","0","0","0","",
31,240312,241162,"4",31,241162,0,"1","0","0","0","",
32,252731,258059,"1",32,258059,0,"3","0","0","0","",
33,258060,258875,"2",33,258875,0,"0","0","0","0","",
34,258876,261151,"3",34,261151,0,"0","0","0","0","",
35,261152,262174,"4",35,262174,0,"0","0","0","0","",
36,271550,276623,"1",36,276623,0,"3","0","0","0","",
37,276624,277472,"2",37,277472,0,"0","0","0","0","",
38,277473,279615,"3",38,279615,0,"0","0","0","0","",
39,279616,280330,"4",39,280330,0,"0","0","0","0","",
40,290636,296139,"1",40,296139,0,"2","0","0","0","",
41,296140,296989,"2",41,296989,0,"0","0","0","0","",
42,296990,299437,"3",42,299437,0,"0","0","0","0","",
43,299438,300458,"4",43,300458,0,"0","0","0","0","",
44,312324,317491,"1",44,317491,0,"3","0","0","0","",
45,317492,318171,"2",45,318171,0,"1","0","0","0","",
46,318172,320517,"3",46,320517,0,"0","0","0","0","",
47,320518,321402,"4",47,321402,0,"0","0","0","0","",
