phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,91437,96219,"1",0,96219,0,"1","0","0","0","",
1,96220,97205,"2",1,97205,0,"0","0","0","0","",
2,97206,97647,"3",2,97647,0,"0","0","0","0","",
3,97648,100232,"4",3,100232,0,"0","1","0","0","",
4,109697,114681,"1",4,114681,0,"1","0","0","0","",
5,114682,115531,"2",5,115531,0,"0","0","0","0","",
6,115532,115633,"3",6,115633,0,"0","0","0","0","",
7,115634,118252,"4",7,118252,0,"0","0","0","0","",
8,127749,133075,"1",8,133075,0,"1","0","0","0","",
9,133076,134061,"2",9,134061,0,"0","0","0","0","",
10,134062,134537,"3",10,134537,0,"0","0","0","0","",
11,134538,139026,"4",11,139026,0,"1","0","0","0","",
12,148036,153407,"1",12,153407,0,"1","0","0","0","",
13,153408,154359,"2",13,154359,0,"1","0","0","0","",
14,154360,154937,"3",14,154937,0,"1","0","0","0","",
15,154938,159256,"4",15,159256,0,"1","0","0","0","",
16,171259,176255,"1",16,176255,0,"1","0","0","0","",
17,176256,177445,"2",17,177445,0,"0","0","0","0","",
18,177446,177615,"3",18,177615,0,"0","0","0","0","",
19,177616,180370,"4",19,180370,0,"1","0","0","0","",
20,191779,197539,"1",20,197539,0,"3","0","0","0","",
21,197540,198423,"2",21,198423,0,"0","0","0","0","",
22,198424,198525,"3",22,198525,0,"0","0","0","0","",
23,198526,201314,"4",23,201314,0,"0","0","0","0","",
24,213462,219027,"1",24,219027,0,"2","0","0","0","",
25,219028,220047,"2",25,220047,0,"0","0","0","0","",
26,220048,220251,"3",26,220251,0,"0","0","0","0","",
27,220252,223890,"4",27,223890,0,"0","0","0","0","",
28,237091,242589,"1",28,242589,0,"1","0","0","0","",
29,242590,243439,"2",29,243439,0,"0","0","0","0","",
30,243440,243609,"3",30,243609,0,"0","0","0","0","",
31,243610,247758,"4",31,247758,0,"1","0","0","0","",
32,262134,267341,"1",32,267341,0,"2","0","0","0","",
33,267342,268293,"2",33,268293,0,"0","0","0","0","",
34,268294,268382,"3",34,268496,0,"0","0","0","0","",
35,268497,272816,"4",35,272816,0,"0","0","0","0","",
36,283471,289101,"1",36,289101,0,"1","0","0","0","",
37,289102,289951,"2",37,289951,0,"0","0","0","0","",
38,289952,290699,"3",38,290699,0,"0","0","0","0","",
39,290700,296174,"4",39,296174,0,"0","0","0","0","",
40,311699,317184,"1",40,317184,0,"1","0","0","0","",
41,317185,318205,"2",41,318205,0,"0","0","0","0","",
42,318206,318544,"3",42,318544,0,"0","0","0","0","",
43,318545,322150,"4",43,322150,0,"0","0","0","0","",
44,337491,342379,"1",44,342379,0,"1","0","0","0","",
45,342380,343296,"2",45,343296,0,"0","0","0","0","",
46,343297,343467,"3",46,343467,0,"0","0","0","0","",
47,343468,346698,"4",47,346698,0,"0","0","0","0","",
