phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,102248,107133,"1",0,107133,0,"2","0","0","0","",
1,107134,108051,"2",1,108051,0,"1","0","0","0","",
2,108052,108561,"3",2,108561,0,"0","0","0","0","",
3,108562,110432,"4",3,110432,0,"0","0","0","0","",
4,119832,124745,"1",4,124745,0,"2","0","0","0","",
5,124746,125561,"2",5,125561,0,"1","0","0","0","",
6,125562,126411,"3",6,126411,0,"0","0","0","0","",
7,126412,131512,"4",7,131512,0,"1","1","0","0","",
8,142355,147967,"1",8,147967,0,"2","0","0","0","",
9,147968,148851,"2",9,148851,0,"0","0","0","0","",
10,148852,149531,"3",10,149531,0,"0","0","0","0","",
11,149532,153476,"4",11,153476,0,"1","0","0","0","",
12,165344,170849,"1",12,170849,0,"1","0","0","0","",
13,170850,171631,"2",13,171631,0,"0","0","0","0","",
14,171632,172209,"3",14,172209,0,"0","0","0","0","",
15,172210,173768,"4",15,173768,0,"0","0","0","0","",
16,185798,191147,"1",16,191147,0,"0","0","0","0","",
17,191148,192099,"2",17,192099,0,"0","0","0","0","",
18,192100,192130,"3",18,193017,0,"0","0","0","0","",
19,193018,199376,"4",19,199376,0,"1","1","0","0","",
20,209188,215933,"1",20,215933,0,"3","0","0","0","",
21,215934,216851,"2",21,216851,0,"0","0","0","0","",
22,216852,217395,"3",22,217395,0,"0","0","0","0","",
23,217396,222088,"4",23,222088,0,"1","1","0","0","",
24,233812,239495,"1",24,239495,0,"1","1","0","0","",
25,239496,240481,"2",25,240481,0,"0","0","0","0","",
26,240482,242997,"3",26,242997,0,"0","0","0","0","",
27,242998,245616,"4",27,245616,0,"0","0","0","0","",
28,256235,262241,"1",28,262241,0,"0","0","0","0","",
29,262242,263023,"2",29,263023,0,"0","0","0","0","",
30,263024,263193,"3",30,263193,0,"0","0","0","0","",
31,263194,267682,"4",31,267682,0,"1","1","0","0","",
32,279158,285021,"1",32,285021,0,"1","1","0","0","",
33,285022,285837,"2",33,285837,0,"0","0","0","0","",
34,285838,286075,"3",34,286075,0,"0","0","0","0","",
35,286076,288354,"4",35,288354,0,"1","0","0","0","",
36,300813,305965,"1",36,305965,0,"1","0","0","0","",
37,305966,306951,"2",37,306951,0,"1","1","0","0","",
38,306952,308787,"3",38,308787,0,"0","0","0","0","",
39,308788,310930,"4",39,310930,0,"0","0","0","0","",
40,321100,326704,"1",40,326704,0,"1","0","0","0","",
41,326705,327589,"2",41,327589,0,"0","0","0","0","",
42,327590,327691,"3",42,327691,0,"0","0","0","0","",
43,327692,331466,"4",43,331466,0,"0","1","0","0","",
44,343089,349247,"1",44,349247,0,"0","0","0","1","child grabs object",
45,349248,350029,"2",45,350029,0,"0","0","0","0","",
46,350030,350096,"3",46,350096,0,"0","0","0","0","",
47,350097,358224,"4",47,358224,0,"1","0","0","0","",
