phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,82944,87413,"1",0,87413,0,"2","0","0","0","",
1,87414,88263,"2",1,88263,0,"0","0","0","0","",
2,88264,88263,"3",2,88264,0,"0","0","0","0","",
3,88264,90406,"4",3,90406,0,"0","0","0","0","",
4,100360,104991,"1",4,104991,0,"0","0","0","0","",
5,104992,105807,"2",5,105807,0,"0","0","0","0","",
6,105808,105807,"3",6,105808,0,"0","0","0","0","",
7,105808,112030,"4",7,112030,0,"3","0","0","0","",
8,123283,128484,"1",8,128484,0,"1","0","0","0","",
9,128485,129199,"2",9,129199,0,"0","0","0","0","",
10,129200,129199,"3",10,129200,0,"0","0","0","0","",
11,129200,132430,"4",11,132430,0,"0","0","0","0","",
12,143403,148851,"1",12,148851,0,"1","0","0","0","",
13,148852,149565,"2",13,149565,0,"0","0","0","0","",
14,149566,149565,"3",14,149566,0,"0","0","0","0","",
15,149566,152150,"4",15,152150,0,"0","0","0","0","",
16,166860,171903,"1",16,171903,0,"1","0","0","0","",
17,171904,172753,"2",17,172753,0,"0","0","0","0","",
18,172754,173331,"3",18,173331,0,"0","0","0","0","",
19,173332,175270,"4",19,175270,0,"1","0","0","0","",
20,186780,191453,"1",20,191453,0,"0","0","0","0","",
21,191454,192371,"2",21,192371,0,"0","0","0","0","",
22,192372,192575,"3",22,192575,0,"0","0","0","0","",
23,192576,194990,"4",23,194990,0,"0","0","0","0","",
24,205632,210527,"1",24,210527,0,"1","0","0","0","",
25,210528,211343,"2",25,211343,0,"0","0","0","0","",
26,211344,211344,"3",26,211344,0,"0","0","0","0","",
27,211344,213792,"4",27,213792,0,"0","0","0","0","",
28,224416,230043,"1",28,230043,0,"1","0","0","0","",
29,230044,230893,"2",29,230893,0,"0","0","0","0","",
30,230894,231199,"3",30,231199,0,"0","0","0","0","",
31,231200,233818,"4",31,233818,0,"1","0","0","0","",
32,245372,251123,"1",32,251123,0,"1","0","0","0","",
33,251124,251803,"2",33,251803,0,"0","0","0","0","",
34,251804,252347,"3",34,252347,0,"0","0","0","0","",
35,252348,254388,"4",35,254388,0,"0","0","0","0","",
36,267627,272576,"1",36,272576,0,"2","0","0","0","",
37,272577,273528,"2",37,273528,0,"0","0","0","0","",
38,273529,273597,"3",38,273597,0,"0","0","0","0","",
39,273598,275944,"4",39,275944,0,"0","0","0","0","",
40,287347,292365,"1",40,292365,0,"1","0","0","0","",
41,292366,293181,"2",41,293181,0,"0","0","0","0","",
42,293182,293181,"3",42,293182,0,"0","0","0","0","",
43,293182,296072,"4",43,296072,0,"1","0","0","0","",
44,309601,314533,"1",44,314533,0,"1","0","0","0","",
45,314534,315280,"2",45,315280,0,"0","0","0","0","",
46,315281,315280,"3",46,315281,0,"0","0","0","0","",
47,315281,318136,"4",47,315281,0,"0","0","0","0","",
