phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude
0,143811,148171,1,0,148171,0,0,0,0,0,
1,148172,149123,2,1,149123,0,0,0,0,0,
2,149124,149531,3,2,149531,0,0,0,0,0,
3,149532,152286,4,3,149532,0,0,0,0,0,
4,176844,183599,1,4,183599,0,3,2,0,0,
5,183600,184585,2,5,183600,0,1,0,0,0,
6,184586,184891,3,6,184891,0,0,0,0,0,
7,184892,202130,4,7,202130,0,4,2,0,0,
8,213780,218925,1,8,218925,0,0,0,0,0,
9,218926,219572,2,9,219572,0,0,0,0,0,
10,219572,219605,3,10,219605,0,0,0,0,0,
11,219606,221714,4,11,221714,0,0,0,0,0,
12,232800,236877,1,12,236877,0,1,0,0,0,
13,236878,237999,2,13,237999,0,0,0,0,0,
14,238000,238033,3,14,238033,0,0,0,0,0,
15,238034,240278,4,15,240278,0,0,0,0,0,
16,249550,254319,1,16,254319,0,2,1,0,0,
17,254320,255577,2,17,255577,0,0,0,0,0,
18,255578,255611,3,18,255611,0,0,0,0,0,
19,255612,258298,4,19,258298,0,0,0,0,0,
20,282349,286789,1,20,286789,0,1,0,0,0,
21,286790,287944,2,21,287944,0,0,0,0,0,
22,287945,288728,3,22,288728,0,0,0,0,0,
23,288728,298023,4,23,298023,0,0,0,0,0,
24,308609,313112,1,24,313112,0,0,0,0,0,
25,313113,313751,2,25,313751,0,0,0,0,0,
26,313752,0,3,26,313752,0,0,0,0,0,
27,313785,322182,4,27,322182,0,1,0,0,0,
28,330998,336302,1,28,336302,0,0,1,0,0,
29,336303,337279,2,29,337279,0,0,0,0,0,
30,337280,337415,3,30,337415,0,0,0,0,0,
31,337416,345916,4,31,345916,0,1,3,0,0,
32,356357,360693,1,32,360693,0,0,0,0,0,
33,360694,361589,2,33,361589,0,0,0,0,0,
34,361590,361623,3,34,361623,0,0,0,0,0,
35,361624,366826,4,35,366826,0,0,0,0,0,
36,376809,378351,1,36,378351,0,0,0,0,0,
37,378352,379677,2,37,379677,0,1,0,0,0,
38,379678,379744,3,38,379744,0,0,0,0,0,
39,379745,385288,4,39,385288,0,1,0,0,0,
40,399433,403477,1,40,403477,0,1,0,0,0,
41,403478,404632,2,41,404632,0,0,0,0,0,
42,404633,404939,3,42,404939,0,0,0,0,0,
43,404940,406946,4,43,406946,0,0,0,0,0,
44,416750,420820,1,44,420820,0,0,0,0,0,
45,420988,422007,2,45,422007,0,0,0,0,0,
46,422008,422040,3,46,422040,0,0,0,0,0,
47,422041,425884,4,47,425884,0,1,0,0,0,
